su,Strata,ns,X,ew,Y,utm_n,utm_z,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4
832,4,N,12.08339,E,34.88344,36,P,705000.00 ,1336480.00 ,705250.00 ,1336730.00 ,705250.00 ,1337230.00 ,705750.00 ,1337230.00 ,705750.00 ,1336730.00 
833,4,N,12.08488,E,35.26707,36,P,746773.00 ,1336962.00 ,747023.00 ,1337212.00 ,747023.00 ,1337712.00 ,747523.00 ,1337712.00 ,747523.00 ,1337212.00 
1009,5,N,12.25734,E,35.07443,36,P,725649.00 ,1355877.00 ,725899.00 ,1356127.00 ,725899.00 ,1356627.00 ,726399.00 ,1356627.00 ,726399.00 ,1356127.00 
1023,5,N,12.77418,E,34.11319,36,P,620831.00 ,1412423.00 ,621081.00 ,1412673.00 ,621081.00 ,1413173.00 ,621581.00 ,1413173.00 ,621581.00 ,1412673.00 
549,4,N,12.25448,E,34.30723,36,P,642180.00 ,1355038.00 ,642430.00 ,1355288.00 ,642430.00 ,1355788.00 ,642930.00 ,1355788.00 ,642930.00 ,1355288.00 
550,4,N,12.25588,E,34.69083,36,P,683911.00 ,1355425.00 ,684161.00 ,1355675.00 ,684161.00 ,1356175.00 ,684661.00 ,1356175.00 ,684661.00 ,1355675.00 
568,4,N,11.90555,E,33.54141,36,P,558959.00 ,1316168.00 ,559209.00 ,1316418.00 ,559209.00 ,1316918.00 ,559709.00 ,1316918.00 ,559709.00 ,1316418.00 
569,4,N,11.90684,E,33.92508,36,P,600742.00 ,1316420.00 ,600992.00 ,1316670.00 ,600992.00 ,1317170.00 ,601492.00 ,1317170.00 ,601492.00 ,1316670.00 
570,4,N,11.90818,E,34.30875,36,P,642528.00 ,1316737.00 ,642778.00 ,1316987.00 ,642778.00 ,1317487.00 ,643278.00 ,1317487.00 ,643278.00 ,1316987.00 
571,4,N,11.90958,E,34.69241,36,P,684320.00 ,1317117.00 ,684570.00 ,1317367.00 ,684570.00 ,1317867.00 ,685070.00 ,1317867.00 ,685070.00 ,1317367.00 
595,4,N,11.55852,E,33.15908,36,P,517345.00 ,1277742.00 ,517595.00 ,1277992.00 ,517595.00 ,1278492.00 ,518095.00 ,1278492.00 ,518095.00 ,1277992.00 
596,4,N,11.55975,E,33.54281,36,P,559185.00 ,1277929.00 ,559435.00 ,1278179.00 ,559435.00 ,1278679.00 ,559935.00 ,1278679.00 ,559935.00 ,1278179.00 
597,4,N,11.56104,E,33.92654,36,P,601026.00 ,1278178.00 ,601276.00 ,1278428.00 ,601276.00 ,1278928.00 ,601776.00 ,1278928.00 ,601776.00 ,1278428.00 
598,4,N,11.56238,E,34.31027,36,P,642872.00 ,1278490.00 ,643122.00 ,1278740.00 ,643122.00 ,1279240.00 ,643622.00 ,1279240.00 ,643622.00 ,1278740.00 
599,4,N,11.56377,E,34.69399,36,P,684723.00 ,1278865.00 ,684973.00 ,1279115.00 ,684973.00 ,1279615.00 ,685473.00 ,1279615.00 ,685473.00 ,1279115.00 
625,4,N,11.21442,E,33.5442,36,P,559408.00 ,1239743.00 ,559658.00 ,1239993.00 ,559658.00 ,1240493.00 ,560158.00 ,1240493.00 ,560158.00 ,1239993.00 
626,4,N,11.2157,E,33.928,36,P,601307.00 ,1239989.00 ,601557.00 ,1240239.00 ,601557.00 ,1240739.00 ,602057.00 ,1240739.00 ,602057.00 ,1240239.00 
627,4,N,11.21704,E,34.31179,36,P,643210.00 ,1240297.00 ,643460.00 ,1240547.00 ,643460.00 ,1241047.00 ,643960.00 ,1241047.00 ,643960.00 ,1240547.00 
628,4,N,11.21844,E,34.69558,36,P,685119.00 ,1240665.00 ,685369.00 ,1240915.00 ,685369.00 ,1241415.00 ,685869.00 ,1241415.00 ,685869.00 ,1240915.00 
653,4,N,10.86954,E,33.5456,36,P,559630.00 ,1201608.00 ,559880.00 ,1201858.00 ,559880.00 ,1202358.00 ,560380.00 ,1202358.00 ,560380.00 ,1201858.00 
654,4,N,10.87083,E,33.92945,36,P,601585.00 ,1201852.00 ,601835.00 ,1202102.00 ,601835.00 ,1202602.00 ,602335.00 ,1202602.00 ,602335.00 ,1202102.00 
655,4,N,10.87216,E,34.31331,36,P,643544.00 ,1202155.00 ,643794.00 ,1202405.00 ,643794.00 ,1202905.00 ,644294.00 ,1202905.00 ,644294.00 ,1202405.00 
656,4,N,10.87356,E,34.69716,36,P,685508.00 ,1202517.00 ,685758.00 ,1202767.00 ,685758.00 ,1203267.00 ,686258.00 ,1203267.00 ,686258.00 ,1202767.00 
679,4,N,10.52639,E,33.93091,36,P,601860.00 ,1163765.00 ,602110.00 ,1164015.00 ,602110.00 ,1164515.00 ,602610.00 ,1164515.00 ,602610.00 ,1164015.00 
698,4,N,10.18239,E,33.93237,36,P,602131.00 ,1125725.00 ,602381.00 ,1125975.00 ,602381.00 ,1126475.00 ,602881.00 ,1126475.00 ,602881.00 ,1125975.00 
699,4,N,10.18373,E,34.31635,36,P,644196.00 ,1126019.00 ,644446.00 ,1126269.00 ,644446.00 ,1126769.00 ,644946.00 ,1126769.00 ,644946.00 ,1126269.00 
830,4,N,12.08059,E,34.11617,36,P,621476.00 ,1335713.00 ,621726.00 ,1335963.00 ,621726.00 ,1336463.00 ,622226.00 ,1336463.00 ,622226.00 ,1335963.00 
831,4,N,12.08196,E,34.4998,36,P,663235.00 ,1336064.00 ,663485.00 ,1336314.00 ,663485.00 ,1336814.00 ,663985.00 ,1336814.00 ,663985.00 ,1336314.00 
852,4,N,11.73197,E,33.35026,36,P,538167.00 ,1296940.00 ,538417.00 ,1297190.00 ,538417.00 ,1297690.00 ,538917.00 ,1297690.00 ,538917.00 ,1297190.00 
853,4,N,11.73323,E,33.73396,36,P,579978.00 ,1297159.00 ,580228.00 ,1297409.00 ,580228.00 ,1297909.00 ,580728.00 ,1297909.00 ,580728.00 ,1297409.00 
854,4,N,11.73454,E,34.11766,36,P,621792.00 ,1297442.00 ,622042.00 ,1297692.00 ,622042.00 ,1298192.00 ,622542.00 ,1298192.00 ,622542.00 ,1297692.00 
855,4,N,11.73591,E,34.50135,36,P,663611.00 ,1297788.00 ,663861.00 ,1298038.00 ,663861.00 ,1298538.00 ,664361.00 ,1298538.00 ,664361.00 ,1298038.00 
856,4,N,11.73734,E,34.88505,36,P,705435.00 ,1298197.00 ,705685.00 ,1298447.00 ,705685.00 ,1298947.00 ,706185.00 ,1298947.00 ,706185.00 ,1298447.00 
882,4,N,11.38641,E,33.35163,36,P,538362.00 ,1258728.00 ,538612.00 ,1258978.00 ,538612.00 ,1259478.00 ,539112.00 ,1259478.00 ,539112.00 ,1258978.00 
883,4,N,11.38766,E,33.73539,36,P,580232.00 ,1258946.00 ,580482.00 ,1259196.00 ,580482.00 ,1259696.00 ,580982.00 ,1259696.00 ,580982.00 ,1259196.00 
884,4,N,11.38897,E,34.11915,36,P,622104.00 ,1259224.00 ,622354.00 ,1259474.00 ,622354.00 ,1259974.00 ,622854.00 ,1259974.00 ,622854.00 ,1259474.00 
885,4,N,11.39034,E,34.50291,36,P,663981.00 ,1259565.00 ,664231.00 ,1259815.00 ,664231.00 ,1260315.00 ,664731.00 ,1260315.00 ,664731.00 ,1259815.00 
886,4,N,11.39177,E,34.88666,36,P,705864.00 ,1259967.00 ,706114.00 ,1260217.00 ,706114.00 ,1260717.00 ,706614.00 ,1260717.00 ,706614.00 ,1260217.00 
912,4,N,11.0413,E,33.35299,36,P,538557.00 ,1220569.00 ,538807.00 ,1220819.00 ,538807.00 ,1221319.00 ,539307.00 ,1221319.00 ,539307.00 ,1220819.00 
913,4,N,11.04256,E,33.73681,36,P,580483.00 ,1220784.00 ,580733.00 ,1221034.00 ,580733.00 ,1221534.00 ,581233.00 ,1221534.00 ,581233.00 ,1221034.00 
914,4,N,11.04387,E,34.12064,36,P,622412.00 ,1221059.00 ,622662.00 ,1221309.00 ,622662.00 ,1221809.00 ,623162.00 ,1221809.00 ,623162.00 ,1221309.00 
915,4,N,11.04524,E,34.50446,36,P,664345.00 ,1221395.00 ,664595.00 ,1221645.00 ,664595.00 ,1222145.00 ,665095.00 ,1222145.00 ,665095.00 ,1221645.00 
916,4,N,11.04666,E,34.88828,36,P,706285.00 ,1221790.00 ,706535.00 ,1222040.00 ,706535.00 ,1222540.00 ,707035.00 ,1222540.00 ,707035.00 ,1222040.00 
940,4,N,10.69665,E,33.35436,36,P,538750.00 ,1182461.00 ,539000.00 ,1182711.00 ,539000.00 ,1183211.00 ,539500.00 ,1183211.00 ,539500.00 ,1182711.00 
941,4,N,10.69791,E,33.73824,36,P,580731.00 ,1182674.00 ,580981.00 ,1182924.00 ,580981.00 ,1183424.00 ,581481.00 ,1183424.00 ,581481.00 ,1182924.00 
942,4,N,10.69922,E,34.12213,36,P,622715.00 ,1182945.00 ,622965.00 ,1183195.00 ,622965.00 ,1183695.00 ,623465.00 ,1183695.00 ,623465.00 ,1183195.00 
964,4,N,10.355,E,34.12362,36,P,623015.00 ,1144880.00 ,623265.00 ,1145130.00 ,623265.00 ,1145630.00 ,623765.00 ,1145630.00 ,623765.00 ,1145130.00 
981,4,N,10.01121,E,34.12511,36,P,623310.00 ,1106862.00 ,623560.00 ,1107112.00 ,623560.00 ,1107612.00 ,624060.00 ,1107612.00 ,624060.00 ,1107112.00 
992,4,N,9.66783,E3,4.1266,36,P,623601.00 ,1068891.00 ,623851.00 ,1069141.00 ,623851.00 ,1069641.00 ,624351.00 ,1069641.00 ,624351.00 ,1069141.00 
1026,5,N,12.4285,E,34.49825,36,P,662853.00 ,1374396.00 ,663103.00 ,1374646.00 ,663103.00 ,1375146.00 ,663603.00 ,1375146.00 ,663603.00 ,1374646.00 
165,2,N,14.86187,E,32.1886,36,P,412710.00 ,1643207.00 ,412960.00 ,1643457.00 ,412960.00 ,1643957.00 ,413460.00 ,1643957.00 ,413460.00 ,1643457.00 
311,3,N,14.51043,E,31.80658,36,P,371403.00 ,1604514.00 ,371653.00 ,1604764.00 ,371653.00 ,1605264.00 ,372153.00 ,1605264.00 ,372153.00 ,1604764.00 
341,3,N,14.16064,E,31.80769,36,P,371323.00 ,1565820.00 ,371573.00 ,1566070.00 ,371573.00 ,1566570.00 ,372073.00 ,1566570.00 ,372073.00 ,1566070.00 
364,3,N,13.81142,E,31.8088,36,P,371249.00 ,1527190.00 ,371499.00 ,1527440.00 ,371499.00 ,1527940.00 ,371999.00 ,1527940.00 ,371999.00 ,1527440.00 
437,3,N,12.42335,E,32.96396,36,P,496083.00 ,1373368.00 ,496333.00 ,1373618.00 ,496333.00 ,1374118.00 ,496833.00 ,1374118.00 ,496833.00 ,1373618.00 
544,4,N,12.24726,E,32.0056,36,P,391846.00 ,1354094.00 ,392096.00 ,1354344.00 ,392096.00 ,1354844.00 ,392596.00 ,1354844.00 ,392596.00 ,1354344.00 
545,4,N,12.24832,E,32.38921,36,P,433570.00 ,1354088.00 ,433820.00 ,1354338.00 ,433820.00 ,1354838.00 ,434320.00 ,1354838.00 ,434320.00 ,1354338.00 
546,4,N,12.25061,E,33.15642,36,P,517011.00 ,1354271.00 ,517261.00 ,1354521.00 ,517261.00 ,1355021.00 ,517761.00 ,1355021.00 ,517761.00 ,1354521.00 
804,4,N,12.42008,E,31.81324,36,P,371006.00 ,1373293.00 ,371256.00 ,1373543.00 ,371256.00 ,1374043.00 ,371756.00 ,1374043.00 ,371756.00 ,1373543.00 
805,4,N,12.42111,E,32.19682,36,P,412702.00 ,1373252.00 ,412952.00 ,1373502.00 ,412952.00 ,1374002.00 ,413452.00 ,1374002.00 ,413452.00 ,1373502.00 
826,4,N,12.07458,E,32.19799,36,P,412716.00 ,1334928.00 ,412966.00 ,1335178.00 ,412966.00 ,1335678.00 ,413466.00 ,1335678.00 ,413466.00 ,1335178.00 
827,4,N,12.07567,E,32.58163,36,P,454469.00 ,1334956.00 ,454719.00 ,1335206.00 ,454719.00 ,1335706.00 ,455219.00 ,1335706.00 ,455219.00 ,1335206.00 
1007,5,N,15.03784,E,32.37957,36,P,433310.00 ,1662605.00 ,433560.00 ,1662855.00 ,433560.00 ,1663355.00 ,434060.00 ,1663355.00 ,434060.00 ,1662855.00 
1008,5,N,12.24944,E,32.77281,36,P,475291.00 ,1354147.00 ,475541.00 ,1354397.00 ,475541.00 ,1354897.00 ,476041.00 ,1354897.00 ,476041.00 ,1354397.00 
1019,5,N,14.51147,E,32.18978,36,P,412698.00 ,1604449.00 ,412948.00 ,1604699.00 ,412948.00 ,1605199.00 ,413448.00 ,1605199.00 ,413448.00 ,1604699.00 
1021,5,N,13.46491,E,32.57668,36,P,454181.00 ,1488588.00 ,454431.00 ,1488838.00 ,454431.00 ,1489338.00 ,454931.00 ,1489338.00 ,454931.00 ,1488838.00 
124,2,N,16.96814,E,26.82289,35,Q,481145.00 ,1876040.00 ,481395.00 ,1876290.00 ,481395.00 ,1876790.00 ,481895.00 ,1876790.00 ,481895.00 ,1876290.00 
136,2,N,16.26025,E,26.82349,35,Q,481139.00 ,1797731.00 ,481389.00 ,1797981.00 ,481389.00 ,1798481.00 ,481889.00 ,1798481.00 ,481889.00 ,1797981.00 
149,2,N,15.5552,E,22.99394,34,P,713837.00 ,1720733.00 ,714087.00 ,1720983.00 ,714087.00 ,1721483.00 ,714587.00 ,1721483.00 ,714587.00 ,1720983.00 
151,2,N,15.55445,E,24.526,35,P,234653.00 ,1721189.00 ,234903.00 ,1721439.00 ,234903.00 ,1721939.00 ,235403.00 ,1721939.00 ,235403.00 ,1721439.00 
152,2,N,15.55443,E,25.29202,35,P,316838.00 ,1720382.00 ,317088.00 ,1720632.00 ,317088.00 ,1721132.00 ,317588.00 ,1721132.00 ,317588.00 ,1720632.00 
185,2,N,16.6132,E,24.90905,35,Q,276940.00 ,1837930.00 ,277190.00 ,1838180.00 ,277190.00 ,1838680.00 ,277690.00 ,1838680.00 ,277690.00 ,1838180.00 
216,2,N,15.20294,E,24.14284,35,P,193015.00 ,1682780.00 ,193265.00 ,1683030.00 ,193265.00 ,1683530.00 ,193765.00 ,1683530.00 ,193765.00 ,1683030.00 
219,2,N,15.2032,E,26.4413,35,P,439992.00 ,1680877.00 ,440242.00 ,1681127.00 ,440242.00 ,1681627.00 ,440742.00 ,1681627.00 ,440742.00 ,1681127.00 
244,3,N,15.20309,E,23.75977,34,P,796513.00 ,1682663.00 ,796763.00 ,1682913.00 ,796763.00 ,1683413.00 ,797263.00 ,1683413.00 ,797263.00 ,1682913.00 
261,3,N,14.85195,E,24.1427,35,P,192497.00 ,1643917.00 ,192747.00 ,1644167.00 ,192747.00 ,1644667.00 ,193247.00 ,1644667.00 ,193247.00 ,1644167.00 
289,3,N,14.50194,E,23.37616,34,P,756101.00 ,1604570.00 ,756351.00 ,1604820.00 ,756351.00 ,1605320.00 ,756851.00 ,1605320.00 ,756851.00 ,1604820.00 
290,3,N,14.50172,E,23.75936,34,P,797429.00 ,1605010.00 ,797679.00 ,1605260.00 ,797679.00 ,1605760.00 ,798179.00 ,1605760.00 ,798179.00 ,1605260.00 
291,3,N,14.50157,E,24.14256,35,P,191992.00 ,1605123.00 ,192242.00 ,1605373.00 ,192242.00 ,1605873.00 ,192742.00 ,1605873.00 ,192742.00 ,1605373.00 
292,3,N,14.50147,E,24.52576,35,P,233322.00 ,1604630.00 ,233572.00 ,1604880.00 ,233572.00 ,1605380.00 ,234072.00 ,1605380.00 ,234072.00 ,1604880.00 
293,3,N,14.50143,E,24.90897,35,P,274642.00 ,1604213.00 ,274892.00 ,1604463.00 ,274892.00 ,1604963.00 ,275392.00 ,1604963.00 ,275392.00 ,1604463.00 
295,3,N,14.50151,E,25.67537,35,P,357257.00 ,1603606.00 ,357507.00 ,1603856.00 ,357507.00 ,1604356.00 ,358007.00 ,1604356.00 ,358007.00 ,1603856.00 
298,3,N,14.50207,E,26.82497,35,P,481141.00 ,1603261.00 ,481391.00 ,1603511.00 ,481391.00 ,1604011.00 ,481891.00 ,1604011.00 ,481891.00 ,1603511.00 
299,3,N,14.50237,E,27.20818,35,P,522431.00 ,1603298.00 ,522681.00 ,1603548.00 ,522681.00 ,1604048.00 ,523181.00 ,1604048.00 ,523181.00 ,1603548.00 
