"su_su_no","plot_plot_no","tree_lucs","lucc","tree_no","tree_or_stump","tree_species_code","tree_species_scientific_name","tree_species_vernacular_name","tree_species_language_code","tree_species_language_variety","other_species","tree_axis_distance","tree_axis_distance_unit_name","tree_left_axis","tree_left_axis_unit_name","tree_right_axis","tree_right_axis_unit_name","diameter","diameter_unit_name","tree_dbh","tree_dbh_unit_name","tree_diameter_height","tree_diameter_height_unit_name","years_since_cut","tree_height","tree_height_unit_name","tree_bole_height","tree_bole_height_unit_name","stem_quality","crown_condition","overall_tree_condition","causative_agent.1.","causative_agent_qualifier.1.","causative_agent.2.","causative_agent_qualifier.2.","causative_agent.3.","causative_agent_qualifier.3.","decomposition_status","branch1_diameter","branch1_diameter_unit_name","branch1_length","branch1_length_unit_name","branch2_diameter","branch2_diameter_unit_name","branch2_length","branch2_length_unit_name","branch3_diameter","branch3_diameter_unit_name","branch3_length","branch3_length_unit_name","branch4_diameter","branch4_diameter_unit_name","branch4_length","branch4_length_unit_name","x_head","y_head","x_utm","y_utm","srs"
645,3,1,"FD",28,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,146,NA,0,NA,3,NA,26,NA,24,NA,1.3,NA,NA,10,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754738.776590461,1201966.09909887,"EPSG:32635"
645,3,1,"FD",29,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,147,NA,1,NA,0,NA,18,NA,16,NA,1.3,NA,NA,9,NA,1.8,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754742.776590461,1201965.09909887,"EPSG:32635"
645,3,1,"FD",30,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,148,NA,0,NA,4,NA,18,NA,16,NA,1.3,NA,NA,9,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754737.776590461,1201964.09909887,"EPSG:32635"
645,3,1,"FD",31,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,150,NA,0,NA,7,NA,20,NA,19,NA,1.3,NA,NA,10,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754734.776590461,1201962.09909887,"EPSG:32635"
645,3,1,"FD",32,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,153,NA,6,NA,0,NA,15,NA,14,NA,1,NA,NA,9,NA,1.3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754747.776590461,1201959.09909887,"EPSG:32635"
645,3,1,"FD",33,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,160,NA,0,NA,0.5,NA,20,NA,18,NA,1.3,NA,NA,10,NA,1.8,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754741.276590461,1201952.09909887,"EPSG:32635"
645,3,1,"FD",34,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,162,NA,0,NA,1,NA,13,NA,13,NA,1,NA,NA,10,NA,1.2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754740.776590461,1201950.09909887,"EPSG:32635"
645,3,1,"FD",35,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,165,NA,0,NA,6,NA,17,NA,16,NA,1.3,NA,NA,10,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754735.776590461,1201947.09909887,"EPSG:32635"
645,3,1,"FD",36,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,169,NA,0,NA,4,NA,26,NA,24,NA,1.3,NA,NA,10,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754737.776590461,1201943.09909887,"EPSG:32635"
645,3,1,"FD",37,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,169,NA,5,NA,0,NA,26,NA,24,NA,1.3,NA,NA,10,NA,1.8,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754746.776590461,1201943.09909887,"EPSG:32635"
645,3,1,"FD",38,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,180,NA,2,NA,0,NA,24,NA,22,NA,1.3,NA,NA,10,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754743.776590461,1201932.09909887,"EPSG:32635"
645,3,1,"FD",39,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,183,NA,0,NA,2,NA,20,NA,18,NA,1.3,NA,NA,10,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754739.776590461,1201929.09909887,"EPSG:32635"
645,3,1,"FD",40,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,190,NA,0,NA,3,NA,13,NA,13,NA,1,NA,NA,6,NA,1.2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754738.776590461,1201922.09909887,"EPSG:32635"
645,3,1,"FD",41,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,190,NA,5,NA,0,NA,20,NA,19,NA,0.8,NA,NA,8,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754746.776590461,1201922.09909887,"EPSG:32635"
645,3,1,"FD",42,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,193,NA,0,NA,2,NA,25,NA,25,NA,0.9,NA,NA,10,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754739.776590461,1201919.09909887,"EPSG:32635"
645,3,1,"FD",43,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,196,NA,6,NA,0,NA,17,NA,17,NA,0.5,NA,NA,10,NA,0.8,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754747.776590461,1201916.09909887,"EPSG:32635"
645,3,1,"FD",44,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,196,NA,0,NA,6,NA,15,NA,13,NA,1.3,NA,NA,6,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754735.776590461,1201916.09909887,"EPSG:32635"
645,3,1,"FD",45,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,198,NA,1,NA,0,NA,20,NA,18,NA,0.8,NA,NA,9,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754742.776590461,1201914.09909887,"EPSG:32635"
645,3,1,"FD",46,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,203,NA,4,NA,0,NA,25,NA,23,NA,1.3,NA,NA,9,NA,1.7,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754745.776590461,1201909.09909887,"EPSG:32635"
645,3,1,"FD",47,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,221,NA,0,NA,0,NA,43,NA,42,NA,1.3,NA,NA,12,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754741.776590461,1201891.09909887,"EPSG:32635"
645,3,1,"FD",48,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,230,NA,0,NA,1,NA,24,NA,22,NA,1.3,NA,NA,10,NA,1.6,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754740.776590461,1201882.09909887,"EPSG:32635"
645,3,1,"FD",49,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,241,NA,0,NA,1,NA,18,NA,17,NA,1.3,NA,NA,10,NA,1.8,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754741.776590461,1202112.09909887,754740.776590461,1201871.09909887,"EPSG:32635"
645,4,1,"FD",1,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,2,NA,0,NA,7,NA,17,NA,15,NA,1,NA,NA,9,NA,1.3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754713.394259212,1201634.83917313,"EPSG:32635"
645,4,1,"FD",2,"tree","ACA/NIL/AST","Acacia nilotica var. adstringens",NA,NA,NA,NA,14,NA,0,NA,6,NA,20,NA,18,NA,0.8,NA,NA,9,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754701.394259212,1201633.83917313,"EPSG:32635"
645,4,1,"FD",3,"tree","ACA/NIL/NIL","Acacia nilotica subsp. nilotica",NA,NA,NA,NA,15,NA,0,NA,3,NA,15,NA,12,NA,1.3,NA,NA,10,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754700.394259212,1201630.83917313,"EPSG:32635"
645,4,1,"FD",4,"tree","ACA/NIL/TOM","Acacia nilotica subsp. tomentosa",NA,NA,NA,NA,16,NA,0,NA,5,NA,18,NA,18,NA,1.3,NA,NA,10,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754699.394259212,1201632.83917313,"EPSG:32635"
645,4,1,"FD",5,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,17,NA,5,NA,0,NA,19,NA,18,NA,1.3,NA,NA,9,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754698.394259212,1201622.83917313,"EPSG:32635"
645,4,1,"FD",6,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,26,NA,5,NA,0,NA,230,NA,22,NA,0.8,NA,NA,8,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754689.394259212,1201622.83917313,"EPSG:32635"
645,4,1,"FD",7,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,37,NA,0,NA,6,NA,17,NA,17,NA,0.9,NA,NA,8,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754678.394259212,1201633.83917313,"EPSG:32635"
645,4,1,"FD",8,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,40,NA,6,NA,0,NA,17,NA,16,NA,1.3,NA,NA,9,NA,1.4,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754675.394259212,1201621.83917313,"EPSG:32635"
645,4,1,"FD",9,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,43,NA,1,NA,0,NA,22,NA,22,NA,0.5,NA,NA,9,NA,0.6,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754672.394259212,1201626.83917313,"EPSG:32635"
645,4,1,"FD",10,"tree","ACA/SEY","Acacia seyal",NA,NA,NA,NA,71,NA,0,NA,6,NA,13,NA,12,NA,1.3,NA,NA,8,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754644.394259212,1201633.83917313,"EPSG:32635"
645,4,1,"FD",12,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,99,NA,0,NA,6,NA,40,NA,37,NA,1.3,NA,NA,14,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754616.394259212,1201633.83917313,"EPSG:32635"
645,4,1,"FD",13,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,105,NA,3,NA,0,NA,13,NA,12,NA,NA,NA,NA,7,NA,1.2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754610.394259212,1201624.83917313,"EPSG:32635"
645,4,1,"FD",14,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,109,NA,0,NA,4,NA,16,NA,15,NA,1.3,NA,NA,7,NA,1.4,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754606.394259212,1201631.83917313,"EPSG:32635"
645,4,1,"FD",15,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,116,NA,0,NA,1,NA,181,NA,7,NA,1.3,NA,NA,8,NA,1.7,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754599.394259212,1201628.83917313,"EPSG:32635"
645,4,1,"FD",16,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,116,NA,0,NA,1,NA,13,NA,11,NA,1,NA,NA,6,NA,1.1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754599.394259212,1201628.83917313,"EPSG:32635"
645,4,1,"FD",17,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,133,NA,2,NA,0,NA,19,NA,19,NA,0.3,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754582.394259212,1201625.83917313,"EPSG:32635"
645,4,1,"FD",18,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,143,NA,0,NA,6,NA,22,NA,20,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754572.394259212,1201633.83917313,"EPSG:32635"
645,4,1,"FD",19,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,160,NA,4,NA,0,NA,14,NA,13,NA,1.3,NA,NA,6,NA,1.8,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754555.394259212,1201623.83917313,"EPSG:32635"
645,4,1,"FD",20,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,160,NA,4,NA,0,NA,12,NA,12,NA,1,NA,NA,6,NA,1.3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754555.394259212,1201623.83917313,"EPSG:32635"
645,4,1,"FD",21,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,186,NA,6,NA,0,NA,24,NA,24,NA,1,NA,NA,10,NA,1.3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754529.394259212,1201621.83917313,"EPSG:32635"
645,4,1,"FD",22,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,220,NA,5,NA,0,NA,25,NA,22,NA,0.6,NA,NA,7,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754495.394259212,1201622.83917313,"EPSG:32635"
645,4,1,"FD",23,"tree","ACA/NIL","Acacia nilotica",NA,NA,NA,NA,243,NA,9,NA,0,NA,28,NA,27,NA,1.1,NA,NA,9,NA,1.3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754715.394259212,1201627.83917313,754472.394259212,1201618.83917313,"EPSG:32635"
978,1,1,"FSD",1,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,5,NA,8,NA,0,NA,14,NA,11,NA,1.3,NA,NA,6,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244703.580236093,1106732.90533712,"EPSG:32636"
978,1,1,"FSD",2,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,11,NA,8,NA,0,NA,27,NA,25,NA,1.3,NA,NA,10,NA,2.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244703.580236093,1106738.90533712,"EPSG:32636"
978,1,1,"FSD",3,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,16,NA,3,NA,0,NA,37,NA,21,NA,1.3,NA,NA,9,NA,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244708.580236093,1106743.90533712,"EPSG:32636"
978,1,1,"FSD",4,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,16,NA,3,NA,0,NA,21,NA,19,NA,1.3,NA,NA,9,NA,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244708.580236093,1106743.90533712,"EPSG:32636"
978,1,1,"FSD",5,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,30,NA,3,NA,0,NA,27,NA,25,NA,1.3,NA,NA,10,NA,2.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244708.580236093,1106757.90533712,"EPSG:32636"
978,1,1,"FSD",6,"stump","ZIZ/SPI","Ziziphus spina-christi",NA,NA,NA,NA,36,NA,0,NA,8,NA,23,NA,23,NA,1.3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244719.580236093,1106763.90533712,"EPSG:32636"
978,1,1,"FSD",7,"stump","","",NA,NA,NA,NA,42,NA,2,NA,0,NA,12,NA,12,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244709.580236093,1106769.90533712,"EPSG:32636"
978,1,1,"FSD",8,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,42,NA,9,NA,0,NA,33,NA,28,NA,1.3,NA,NA,14,NA,5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244702.580236093,1106769.90533712,"EPSG:32636"
978,1,1,"FSD",9,"tree","SCL/BIR","Sclerocarya birrea",NA,NA,NA,NA,45,NA,0,NA,5,NA,42,NA,36,NA,1.3,NA,NA,11,NA,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244716.580236093,1106772.90533712,"EPSG:32636"
978,1,1,"FSD",10,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,58,NA,0,NA,9,NA,64,NA,47,NA,1.3,NA,NA,15,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244720.580236093,1106785.90533712,"EPSG:32636"
978,1,1,"FSD",11,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,63,NA,0,NA,10,NA,25,NA,19,NA,1.3,NA,NA,11,NA,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244721.580236093,1106790.90533712,"EPSG:32636"
978,1,1,"FSD",12,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,64,NA,0,NA,9,NA,24,NA,21,NA,1.3,NA,NA,11,NA,2.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244720.580236093,1106791.90533712,"EPSG:32636"
978,1,1,"FSD",13,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,94,NA,0,NA,5,NA,70,NA,61,NA,1.3,NA,NA,13,NA,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244716.580236093,1106821.90533712,"EPSG:32636"
978,1,1,"FSD",14,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,91,NA,4,NA,0,NA,19,NA,15,NA,1.3,NA,NA,9,NA,4,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244707.580236093,1106818.90533712,"EPSG:32636"
978,1,1,"FSD",15,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,95,NA,0,NA,5,NA,22,NA,21,NA,1.3,NA,NA,11,NA,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244716.580236093,1106822.90533712,"EPSG:32636"
978,1,1,"FSD",16,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,105,NA,1,NA,0,NA,24,NA,19,NA,1.3,NA,NA,12,NA,4,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244710.580236093,1106832.90533712,"EPSG:32636"
978,1,1,"FSD",17,"tree","DAL/MEL","Dalbergia melanoxylon",NA,NA,NA,NA,119,NA,3,NA,0,NA,40,NA,39,NA,1.3,NA,NA,11,NA,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244708.580236093,1106846.90533712,"EPSG:32636"
978,1,1,"FSD",18,"tree","DAL/MEL","Dalbergia melanoxylon",NA,NA,NA,NA,119,NA,3,NA,0,NA,15,NA,14,NA,1.3,NA,NA,9,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244708.580236093,1106846.90533712,"EPSG:32636"
978,1,1,"FSD",19,"tree","DAL/MEL","Dalbergia melanoxylon",NA,NA,NA,NA,125,NA,0,NA,0.5,NA,15,NA,10,NA,1.3,NA,NA,5,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244711.580236093,1106727.90533712,244712.080236093,1106852.90533712,"EPSG:32636"
