"su_su_no","plot_plot_no","tree_lucs","lucc","tree_no","tree_or_stump","tree_species_code","tree_species_scientific_name","tree_species_vernacular_name","tree_species_language_code","tree_species_language_variety","other_species","tree_axis_distance","tree_axis_distance_unit_name","tree_left_axis","tree_left_axis_unit_name","tree_right_axis","tree_right_axis_unit_name","diameter","diameter_unit_name","tree_dbh","tree_dbh_unit_name","tree_diameter_height","tree_diameter_height_unit_name","years_since_cut","tree_height","tree_height_unit_name","tree_bole_height","tree_bole_height_unit_name","stem_quality","crown_condition","overall_tree_condition","causative_agent.1.","causative_agent_qualifier.1.","causative_agent.2.","causative_agent_qualifier.2.","causative_agent.3.","causative_agent_qualifier.3.","decomposition_status","branch1_diameter","branch1_diameter_unit_name","branch1_length","branch1_length_unit_name","branch2_diameter","branch2_diameter_unit_name","branch2_length","branch2_length_unit_name","branch3_diameter","branch3_diameter_unit_name","branch3_length","branch3_length_unit_name","branch4_diameter","branch4_diameter_unit_name","branch4_length","branch4_length_unit_name","x_head","y_head","x_utm","y_utm","srs"
928,1,1,"FSD",5,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,176,NA,5,NA,0,NA,17,NA,14,NA,1.3,NA,NA,7,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565424.544085407,1181596.83160197,"EPSG:32635"
928,1,1,"FSD",6,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,176,NA,5,NA,0,NA,14,NA,14,NA,1.3,NA,NA,6,NA,1.6,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565424.544085407,1181596.83160197,"EPSG:32635"
928,1,1,"FSD",7,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,179,NA,0,NA,8,NA,20,NA,18,NA,0.4,NA,NA,4,NA,0.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565437.544085407,1181599.83160197,"EPSG:32635"
928,1,1,"FSD",8,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,194,NA,7,NA,0,NA,31,NA,30,NA,0.3,NA,NA,6,NA,0.4,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565429.544085407,1181420.83160197,565422.544085407,1181614.83160197,"EPSG:32635"
928,2,1,"FSD",1,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,18,NA,0,NA,2,NA,13,NA,10,NA,1.3,NA,NA,3,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565443.998522027,1181916.33222996,"EPSG:32635"
928,2,1,"FSD",2,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,25,NA,0,NA,8,NA,18,NA,16,NA,1,NA,NA,5,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565450.998522027,1181910.33222996,"EPSG:32635"
928,2,1,"FSD",3,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,40,NA,5,NA,0,NA,24,NA,22,NA,1.3,NA,NA,7,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565465.998522027,1181923.33222996,"EPSG:32635"
928,2,1,"FSD",4,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,44,NA,1,NA,0,NA,27,NA,26,NA,1,NA,NA,8,NA,1,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565469.998522027,1181919.33222996,"EPSG:32635"
928,2,1,"FSD",5,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,45,NA,1,NA,0,NA,0.5,NA,38,NA,39,NA,NA,16,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565470.998522027,1181919.33222996,"EPSG:32635"
928,2,1,"FSD",6,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,45,NA,1,NA,0,NA,38,NA,37,NA,1.3,NA,NA,18,NA,3,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565470.998522027,1181919.33222996,"EPSG:32635"
928,2,1,"FSD",7,"tree","ANO/LEI","Anogeissus leiocarpus",NA,NA,NA,NA,45,NA,1,NA,0,NA,35,NA,33,NA,0.8,NA,NA,16,NA,1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565470.998522027,1181919.33222996,"EPSG:32635"
928,2,1,"FSD",8,"tree","","",NA,NA,NA,NA,50,NA,3,NA,0,NA,15,NA,13,NA,1.3,NA,NA,9,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565475.998522027,1181921.33222996,"EPSG:32635"
928,2,1,"FSD",9,"tree","","",NA,NA,NA,NA,57,NA,0,NA,8,NA,16,NA,14,NA,1.3,NA,NA,6,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565482.998522027,1181910.33222996,"EPSG:32635"
928,2,1,"FSD",10,"tree","","",NA,NA,NA,NA,57,NA,0,NA,10,NA,39,NA,37,NA,1,NA,NA,6,NA,1.1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565482.998522027,1181908.33222996,"EPSG:32635"
928,2,1,"FSD",11,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,57,NA,6,NA,0,NA,19,NA,18,NA,1.3,NA,NA,5,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565482.998522027,1181924.33222996,"EPSG:32635"
928,2,1,"FSD",12,"tree","COM/ACU","Combretum aculeatum",NA,NA,NA,NA,57,NA,7,NA,0,NA,21,NA,19,NA,1,NA,NA,6,NA,1.1,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565482.998522027,1181925.33222996,"EPSG:32635"
928,2,1,"FSD",13,"tree","","",NA,NA,NA,NA,60,NA,0,NA,2,NA,35,NA,30,NA,1.1,NA,NA,7,NA,1.2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565485.998522027,1181916.33222996,"EPSG:32635"
928,2,1,"FSD",14,"tree","","",NA,NA,NA,NA,60,NA,5,NA,0,NA,29,NA,27,NA,1.3,NA,NA,9,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565485.998522027,1181923.33222996,"EPSG:32635"
928,2,1,"FSD",15,"tree","","",NA,NA,NA,NA,60,NA,5,NA,0,NA,20,NA,18,NA,NA,NA,NA,9,NA,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565485.998522027,1181923.33222996,"EPSG:32635"
928,2,1,"FSD",16,"tree","","",NA,NA,NA,NA,59,NA,9,NA,0,NA,23,NA,21,NA,1.3,NA,NA,10,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565484.998522027,1181927.33222996,"EPSG:32635"
928,2,1,"FSD",17,"tree","","",NA,NA,NA,NA,60,NA,10,NA,0,NA,20,NA,19,NA,1.3,NA,NA,9,NA,1.4,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565485.998522027,1181928.33222996,"EPSG:32635"
928,2,1,"FSD",18,"tree","","",NA,NA,NA,NA,62,NA,2,NA,0,NA,13,NA,11,NA,0.5,NA,NA,3,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565487.998522027,1181920.33222996,"EPSG:32635"
928,2,1,"FSD",19,"tree","","",NA,NA,NA,NA,62,NA,4,NA,1,NA,21,NA,19,NA,0.5,NA,NA,6,NA,0.6,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565487.998522027,1181921.33222996,"EPSG:32635"
928,2,NA,"",20,"tree","","",NA,NA,NA,NA,63,NA,0,NA,7,NA,24,NA,22,NA,1.3,NA,NA,7,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565488.998522027,1181911.33222996,"EPSG:32635"
928,2,1,"FSD",21,"tree","TER/BRO","Terminalia brownii",NA,NA,NA,NA,64,NA,0,NA,3,NA,31,NA,29,NA,1.3,NA,NA,13,NA,4,NA,1,5,5,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565489.998522027,1181915.33222996,"EPSG:32635"
928,2,1,"FSD",22,"tree","","",NA,NA,NA,NA,63,NA,1,NA,0,NA,36,NA,34,NA,1.3,NA,NA,13,NA,2.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565488.998522027,1181919.33222996,"EPSG:32635"
928,2,1,"FSD",23,"tree","","",NA,NA,NA,NA,63,NA,0,NA,2,NA,17,NA,14,NA,1.3,NA,NA,5,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565488.998522027,1181916.33222996,"EPSG:32635"
928,2,1,"FSD",24,"tree","","",NA,NA,NA,NA,63,NA,0,NA,4,NA,22,NA,22,NA,1.3,NA,NA,9,NA,4,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565488.998522027,1181914.33222996,"EPSG:32635"
928,2,1,"FSD",25,"tree","","",NA,NA,NA,NA,63,NA,4,NA,0,NA,22,NA,20,NA,1,NA,NA,6,NA,1.2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565488.998522027,1181922.33222996,"EPSG:32635"
928,2,1,"FSD",26,"tree","","",NA,NA,NA,NA,65,NA,9,NA,0,NA,25,NA,24,NA,1.3,NA,NA,10,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565490.998522027,1181927.33222996,"EPSG:32635"
928,2,1,"FSD",27,"tree","","",NA,NA,NA,NA,65,NA,0,NA,1,NA,17,NA,16,NA,1.3,NA,NA,7,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565490.998522027,1181917.33222996,"EPSG:32635"
928,2,1,"FSD",28,"tree","","",NA,NA,NA,NA,66,NA,0,NA,2,NA,11,NA,10,NA,11.3,NA,NA,4,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565491.998522027,1181916.33222996,"EPSG:32635"
928,2,1,"FSD",29,"tree","","",NA,NA,NA,NA,66,NA,1,NA,0,NA,47,NA,45,NA,1.3,NA,NA,14,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565491.998522027,1181919.33222996,"EPSG:32635"
928,2,1,"FSD",30,"tree","","",NA,NA,NA,NA,66,NA,2,NA,0,NA,78,NA,65,NA,NA,NA,NA,14,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565491.998522027,1181920.33222996,"EPSG:32635"
928,2,1,"FSD",31,"tree","","",NA,NA,NA,NA,71,NA,0,NA,1,NA,18,NA,16,NA,1.3,NA,NA,8,NA,2,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565496.998522027,1181917.33222996,"EPSG:32635"
928,2,1,"FSD",32,"tree","BAU/TOM","Bauhinia tomentosa",NA,NA,NA,NA,76,NA,7,NA,0,NA,15,NA,14,NA,1.3,NA,NA,6,NA,1.6,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565501.998522027,1181925.33222996,"EPSG:32635"
928,2,1,"FSD",33,"tree","","",NA,NA,NA,NA,76,NA,7,NA,0,NA,12,NA,10,NA,1.3,NA,NA,6,NA,1.5,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565501.998522027,1181925.33222996,"EPSG:32635"
928,2,1,"FSD",34,"tree","BAL/AEG","Balanites aegyptiaca",NA,NA,NA,NA,93,NA,0,NA,2,NA,13,NA,12,NA,1,NA,NA,4,NA,1.3,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,565425.998522027,1181918.33222996,565518.998522027,1181916.33222996,"EPSG:32635"
