SU,strata,NS,Lat,EW,Lon
671,4,N,10.51414,E,28.93997
672,4,N,10.51474,E,29.32389
673,4,N,10.51540,E,29.70781
688,4,N,10.16867,E,27.78866
689,4,N,10.16911,E,28.17265
690,4,N,10.16960,E,28.55663
691,4,N,10.17015,E,28.94061
692,4,N,10.17075,E,29.32460
693,4,N,10.17142,E,29.70858
708,4,N,9.82554,E2,8.17316
709,4,N,9.82603,E2,8.55721
710,4,N,9.82658,E2,8.94126
711,4,N,9.82718,E2,9.32530
717,4,N,9.48237,E2,8.17368
718,4,N,9.48286,E2,8.55779
782,4,N,12.76146,E,29.12755
783,4,N,12.76210,E,29.51106
797,4,N,12.41385,E,28.74464
798,4,N,12.41443,E,29.12822
799,4,N,12.41506,E,29.51180
817,4,N,12.06732,E,28.74526
818,4,N,12.06790,E,29.12889
841,4,N,11.72030,E,27.97846
842,4,N,11.72129,E,28.74587
843,4,N,11.72187,E,29.12957
869,4,N,11.37434,E,27.59519
870,4,N,11.37475,E,27.97895
871,4,N,11.37522,E,28.36271
872,4,N,11.37574,E,28.74648
873,4,N,11.37632,E,29.13024
899,4,N,11.02925,E,27.59561
900,4,N,11.02966,E,27.97944
901,4,N,11.03013,E,28.36326
902,4,N,11.03065,E,28.74709
903,4,N,11.03123,E,29.13092
928,4,N,10.68462,E,27.59603
929,4,N,10.68502,E,27.97992
930,4,N,10.68549,E,28.36381
931,4,N,10.68601,E,28.74770
932,4,N,10.68659,E,29.13159
933,4,N,10.68722,E,29.51548
952,4,N,10.34042,E,27.59646
953,4,N,10.34082,E,27.98041
954,4,N,10.34129,E,28.36436
955,4,N,10.34181,E,28.74832
956,4,N,10.34239,E,29.13227
957,4,N,10.34302,E,29.51622
958,4,N,10.34371,E,29.90017
973,4,N,9.99705,E2,7.98090
974,4,N,9.99751,E2,8.36491
975,4,N,9.99803,E2,8.74893
976,4,N,9.99861,E2,9.13294
977,4,N,9.99924,E2,9.51696
989,4,N,9.65368,E2,7.98138
990,4,N,9.65414,E2,8.36546
991,4,N,9.65466,E2,8.74954
1027,5,N,11.72077,E,28.36217
519,4,N,12.58886,E,29.70320
522,4,N,12.59209,E,31.23737
523,4,N,12.59304,E,31.62092
538,4,N,12.24208,E,29.70397
539,4,N,12.24280,E,30.08757
540,4,N,12.24358,E,30.47118
541,4,N,12.24441,E,30.85479
542,4,N,12.24531,E,31.23839
543,4,N,12.24625,E,31.62200
560,4,N,11.89514,E,29.32107
561,4,N,11.89580,E,29.70474
562,4,N,11.89652,E,30.08840
563,4,N,11.89730,E,30.47207
564,4,N,11.89813,E,30.85574
565,4,N,11.89902,E,31.23941
566,4,N,11.89997,E,31.62308
567,4,N,11.90098,E,32.00675
588,4,N,11.55001,E,29.70550
589,4,N,11.55073,E,30.08924
590,4,N,11.55151,E,30.47297
591,4,N,11.55234,E,30.85670
592,4,N,11.55323,E,31.24043
593,4,N,11.55417,E,31.62416
594,4,N,11.55518,E,32.00789
617,4,N,11.20469,E,29.70627
618,4,N,11.20541,E,30.09007
619,4,N,11.20618,E,30.47386
620,4,N,11.20702,E,30.85766
621,4,N,11.20790,E,31.24145
622,4,N,11.20885,E,31.62524
623,4,N,11.20985,E,32.00904
624,4,N,11.21091,E,32.39283
646,4,N,10.85982,E,29.70704
647,4,N,10.86054,E,30.09090
648,4,N,10.86132,E,30.47476
649,4,N,10.86215,E,30.85861
650,4,N,10.86304,E,31.24247
651,4,N,10.86398,E,31.62633
652,4,N,10.86498,E,32.01018
674,4,N,10.51612,E,30.09173
675,4,N,10.51690,E,30.47565
676,4,N,10.51773,E,30.85957
677,4,N,10.51861,E,31.24349
678,4,N,10.51956,E,31.62741
694,4,N,10.17291,E,30.47655
695,4,N,10.17373,E,30.86053
696,4,N,10.17462,E,31.24451
697,4,N,10.17556,E,31.62849
712,4,N,9.83016,E3,0.86149
713,4,N,9.83104,E3,1.24553
800,4,N,12.41576,E,29.89537
802,4,N,12.41818,E,31.04610
803,4,N,12.41910,E,31.42967
819,4,N,12.06854,E,29.51253
820,4,N,12.06923,E,29.89617
821,4,N,12.06998,E,30.27981
822,4,N,12.07079,E,30.66345
823,4,N,12.07165,E,31.04708
824,4,N,12.07257,E,31.43072
825,4,N,12.07355,E,31.81436
844,4,N,11.72251,E,29.51327
845,4,N,11.72320,E,29.89697
846,4,N,11.72395,E,30.28067
847,4,N,11.72475,E,30.66437
848,4,N,11.72561,E,31.04807
849,4,N,11.72653,E,31.43177
850,4,N,11.72751,E,31.81547
851,4,N,11.72854,E,32.19917
874,4,N,11.37695,E,29.51401
875,4,N,11.37764,E,29.89777
876,4,N,11.37839,E,30.28153
877,4,N,11.37920,E,30.66530
878,4,N,11.38006,E,31.04906
879,4,N,11.38097,E,31.43282
880,4,N,11.38195,E,31.81658
881,4,N,11.38298,E,32.20034
904,4,N,11.03186,E,29.51474
905,4,N,11.03255,E,29.89857
906,4,N,11.03330,E,30.28240
907,4,N,11.03410,E,30.66622
908,4,N,11.03496,E,31.05005
909,4,N,11.03588,E,31.43387
910,4,N,11.03685,E,31.81770
911,4,N,11.03788,E,32.20152
934,4,N,10.68791,E,29.89937
935,4,N,10.68866,E,30.28326
936,4,N,10.68946,E,30.66715
937,4,N,10.69032,E,31.05104
938,4,N,10.69124,E,31.43492
939,4,N,10.69221,E,31.81881
959,4,N,10.34445,E,30.28412
960,4,N,10.34526,E,30.66807
961,4,N,10.34611,E,31.05202
962,4,N,10.34703,E,31.43597
978,4,N,10.00147,E,30.66900
979,4,N,10.00233,E,31.05301
980,4,N,10.00324,E,31.43703
1025,5,N,12.41651,E,30.27895
160,2,N,15.56451,E,32.18626
161,2,N,15.56678,E,32.95228
212,2,N,15.92028,E,33.33393
1006,5,N,15.39029,E,32.76141
1017,5,N,15.91789,E,32.56804
999,5,N,21.83539,E,31.21101
1000,5,N,19.29448,E,30.45337
1002,5,N,18.93523,E,30.45426
1004,5,N,18.58059,E,31.98508
1013,5,N,18.40114,E,31.79439
1014,5,N,18.04193,E,31.03035
1015,5,N,18.04287,E,31.41292
144,2,N,16.27200,E,32.94969
198,2,N,16.63233,E,34.86250
1001,5,N,19.30054,E,32.74751
1003,5,N,18.94013,E,32.36636
1005,5,N,17.51595,E,33.90182
1010,5,N,19.48108,E,32.93805
1011,5,N,19.48233,E,33.32037
1012,5,N,19.12022,E,32.55695
1016,5,N,16.98246,E,33.71262
