"su_su_no","plot_plot_no","lucs_lucs_no","lucs_photo_no","photo_lucs_description","photo_lucs_location_srs","photo_lucs_location_x","photo_lucs_location_y","photo_lucs_bearing","photo_lucs_bearing_unit_name","lucs_photo"
"0960","3","1","1","LUCS","EPSG:32636","245383.442133539","1145273.59809452","180","","99659_1657.jpg"
"0960","3","1","2","LUCS","EPSG:32636","245388.000889118","1145145.82787031","180","","99659_1914.jpg"
"0960","3","1","3","LUCS","EPSG:32636","245382.13055521","1145019.14758782","0","","99659_1984.jpg"
"0960","4","1","1","LUCS","EPSG:32636","245391.212655068","1144772.38898235","270","","99659_2143.jpg"
"0960","4","1","2","LUCS","EPSG:32636","245262.046229544","1144769.37756862","270","","99659_2555.jpg"
"0960","4","1","3","LUCS","EPSG:32636","245146.745869048","1144773.04515873","90","","99659_2964.jpg"
"0797","1","1","101417","Wooded grassland","EPSG:32635","689901.036564673","1373192.7473479","45","","21387_244.jpg"
"0797","1","1","103815","Middle point","EPSG:32635","689897.63606141","1373313.49732465","20","","21387_439.jpg"
"0797","2","1","111308","Highly slopes","EPSG:32635","689898.374529671","1373685.01301412","95","","21387_651.jpg"
"0797","2","1","112709","PLAIN LAND USE","EPSG:32635","690024.977229111","1373686.44271238","100","","21387_661.jpg"
"0797","3","1","156","WG","EPSG:32635","690397.541001765","1373688.62091643","180","","21387_851.jpg"
"0797","3","1","122338","End of plot3","EPSG:32635","690397.334798344","1373439.72606814","0","","21387_900.jpg"
"0797","4","1","123916","WG","EPSG:32635","690401.545031565","1373185.7647201","270","","21387_1070.jpg"
"0797","4","1","125527","WG","EPSG:32635","690272.564137313","1373187.7721517","270","","21387_1115.jpg"
"0902","4","1","1","Land use","EPSG:32635","691615.199658615","1220179.90517033","270","","66705_250.jpg"
"0902","4","1","2","Land use","EPSG:32635","691487.973419438","1220161.79698853","270","","66705_309.jpg"
"0902","1","1","1","Land use","EPSG:32635","691110.164356469","1220175.0706506","0","","66705_545.jpg"
"0902","1","1","2","Land use","EPSG:32635","691112.297376804","1220298.11539877","0","","66705_562.jpg"
"0902","3","1","1","Land use","EPSG:32635","691599.668495605","1220677.05031999","180","","66705_818.jpg"
"0902","3","1","2","Land use","EPSG:32635","691611.179562585","1220540.82342376","9","","66705_824.jpg"
"0902","3","1","3","Land use","EPSG:32635","691625.678624695","1220438.68252835","0","","66705_830.jpg"
"0433","1","1","111215","W G","EPSG:32635","564794.834024489","1372485.05894045","0","","27665_255.jpg"
"0433","2","1","120628","O C A","EPSG:32635","564795.893352589","1372984.74326108","90","","27665_794.jpg"
"0433","2","2","122904","W G","EPSG:32635","564928.540480896","1372993.54462371","90","","27665_1011.jpg"
"0433","3","1","130152","W G","EPSG:32635","565309.460549786","1372979.77338822","180","","27665_1328.jpg"
"0433","3","1","130336","Slope  of land","EPSG:32635","565303.2532571","1372985.34937451","90","","27665_1334.jpg"
"0433","3","2","133035","OCA","EPSG:32635","565306.536852837","1372809.44001733","180","","27665_1149.jpg"
"0433","4","1","135658","W G","EPSG:32635","565304.790953068","1372481.56059854","270","","27665_1723.jpg"
"0645","1","1","1","Iand use","EPSG:32635","754229.926785704","1201648.50426552","0","","56082_239.jpg"
"0645","1","1","2","LAND USE","EPSG:32635","754222.288509735","1201767.89372011","0","","56082_256.jpg"
"0645","2","1","1","Land use","EPSG:32635","754239.593852273","1202132.52518632","85","","56082_410.jpg"
"0645","2","1","2","Land use","EPSG:32635","754311.905127748","1202100.43741304","215","","56082_416.jpg"
"0645","2","1","3","Land use","EPSG:32635","754481.627639139","1202115.12740901","270","","56082_422.jpg"
"0645","3","1","1","Land use","EPSG:32635","754717.460852523","1202114.56990602","180","","56082_637.jpg"
"0645","3","1","2","Land use","EPSG:32635","754738.100916234","1202034.33019615","180","","56082_643.jpg"
"0645","3","1","3","Land use","EPSG:32635","754730.652313275","1201895.00061955","0","","56082_664.jpg"
"0645","4","1","1","LUCS FSD","EPSG:32635","754721.50896343","1201622.4324368","270","","56082_818.jpg"
"0645","4","1","2","Lucs fsd","EPSG:32635","754688.15964409","1201616.24860228","0","","56082_1103.jpg"
"0645","4","1","3","LUCS FSD","EPSG:32635","754591.645400382","1201617.29705878","180","","56082_1326.jpg"
"0645","4","1","4","LUCS fsd","EPSG:32635","754483.100068889","1201626.17308859","90","","56082_1549.jpg"
"0978","1","1","3","LUCS","EPSG:32636","244723.17283798","1106742.38543614","0","","106643_286.jpg"
"0978","1","1","4","LUCS","EPSG:32636","244717.901163906","1106853.06482118","0","","106643_970.jpg"
"0978","1","1","5","LUCS","EPSG:32636","244734.822438437","1106978.78932167","180","","106643_72.jpg"
"0978","2","1","5","LUCS","EPSG:32636","244715.670365765","1107226.82491555","90","","106643_1680.jpg"
"0978","2","1","6","LUCS","EPSG:32636","244844.326715265","1107230.69120665","90","","106643_2560.jpg"
"0978","2","1","3","LUCS","EPSG:32636","244965.550852961","1107224.07938733","270","","106643_3002.jpg"
"0978","3","1","7","LUCS","EPSG:32636","245226.2916351","1107227.78368716","180","","106643_3174.jpg"
"0978","3","1","9","LUCS","EPSG:32636","245224.352630125","1107100.41552397","180","","106643_3322.jpg"
"0978","3","1","10","LUCS","EPSG:32636","245210.659230548","1106984.7768534","0","","106643_3328.jpg"
"0978","4","1","11","LUCS","EPSG:32636","245221.967994136","1106737.14842848","270","","106643_3500.jpg"
"0978","4","1","12","LUCS","EPSG:32636","244969.335967512","1106742.18887887","270","","106643_3509.jpg"
"0978","4","1","13","LUCS","EPSG:32636","244964.148319973","1106737.20692476","90","","106643_3515.jpg"
"0953","2","1","3","LUCS","EPSG:32635","607584.245093102","1144011.4055472","90","","45588_283.jpg"
"0953","4","1","1","LUCS","EPSG:32635","608098.904960599","1143513.08764641","270","","45588_2083.jpg"
"0953","1","1","1","LUCS","EPSG:32635","607583.927651319","1143514.35890209","0","","45588_3176.jpg"
"0622","1","1","2","LUCS","EPSG:32636","350162.242898985","1239675.54204972","0","","117141_255.jpg"
"0622","1","1","4","LUCS","EPSG:32636","350157.664368483","1239800.45794723","0","","117141_510.jpg"
"0622","1","1","6","LUCS","EPSG:32636","350161.628958006","1239923.03022483","180","","117141_569.jpg"
"0622","2","1","7","LUCS","EPSG:32636","350165.399105613","1240168.8809854","90","","117141_730.jpg"
"0622","2","1","8","LUCS","EPSG:32636","350290.001333899","1240175.58467763","90","","117141_924.jpg"
"0622","2","1","10","LUCS","EPSG:32636","350416.768608695","1240173.19962481","270","","117141_1034.jpg"
"0622","3","1","11","LUCS","EPSG:32636","350664.433304201","1240167.58250727","180","","117141_1193.jpg"
"0622","3","1","12","LUCS","EPSG:32636","350660.896041951","1240049.853355","180","","117141_1317.jpg"
"0622","3","1","13","LUCS","EPSG:32636","350667.500763566","1239922.69641136","0","","117141_1509.jpg"
"0622","4","1","14","LUCS","EPSG:32636","350664.161007592","1239671.71793652","270","","117141_1668.jpg"
"0622","4","1","16","LUCS","EPSG:32636","350537.281532281","1239676.97660131","270","","117141_1675.jpg"
"0622","4","1","18","LUCS","EPSG:32636","350410.873154312","1239675.74674037","90","","117141_1898.jpg"
"0799","2","1","1","Heglieg tree","EPSG:32635","773336.0","1373989.0","90","","9240_58.jpg"
"0799","3","1","1","Crop products","EPSG:32635","773838.89681078","1374468.36868131","180","","9240_403.jpg"
"0799","4","1","1","Village house","EPSG:32635","773836.404637188","1373988.31638182","270","","9240_595.jpg"
"0799","1","1","1","Village houses","EPSG:32635","773336.0","1373989.0","0","","9240_552.jpg"
