"su_su_no","plot_plot_no","lsp_no","lsp_lucs_no","litter_depth","litter_depth_unit_name","litter_composition"
"0695","3","1","","","",""
"0695","3","2","","","",""
"0695","3","3","1","2.0","","2"
"0695","4","1","1","3.0","","2"
"0695","4","2","1","2.0","","2"
"0695","4","3","1","1.0","","2"
"0543","1","1","1","1.0","","2"
"0543","1","2","1","1.0","","2"
"0543","1","3","1","3.0","","2"
"0543","2","1","1","2.0","","2"
"0543","2","2","1","1.0","","2"
"0543","2","3","1","2.0","","2"
"0543","3","1","1","1.0","","2"
"0543","3","2","1","2.0","","2"
"0543","3","3","1","2.0","","2"
"0543","4","1","1","1.0","","2"
"0543","4","2","1","1.0","","2"
"0543","4","3","1","2.0","","2"
"0960","1","1","1","4.0","","2"
"0960","1","2","1","6.0","","2"
"0960","1","3","1","1.0","","2"
"0960","2","1","1","1.0","","2"
"0960","2","2","1","4.0","","2"
"0960","2","3","1","3.0","","2"
"0960","3","1","1","1.0","","2"
"0960","3","2","1","2.0","","2"
"0960","3","3","1","3.0","","2"
"0960","4","1","1","1.0","","2"
"0960","4","2","1","2.0","","2"
"0960","4","3","1","1.0","","2"
"0797","1","1","1","1.0","","2"
"0797","1","2","1","1.0","","2"
"0797","1","3","1","0.0","","2"
"0797","2","1","1","1.0","","2"
"0797","2","2","1","2.0","","2"
"0797","2","3","1","1.0","","2"
"0797","3","1","1","1.0","","2"
"0797","3","2","1","0.0","","2"
"0797","3","3","1","1.0","","2"
"0797","4","1","1","1.0","","2"
"0797","4","2","1","1.0","","2"
"0797","4","3","1","2.0","","2"
"0902","4","1","1","5.0","","2"
"0902","4","2","1","1.0","","2"
"0902","4","3","","","",""
"0902","1","1","1","3.0","","2"
"0902","1","2","1","1.0","","2"
"0902","1","3","1","3.0","","2"
"0902","2","1","","","",""
"0902","2","2","","","",""
"0902","2","3","","","",""
"0902","3","1","1","3.0","","2"
"0902","3","2","1","2.0","","2"
"0902","3","3","1","2.0","","2"
"0433","1","1","1","1.0","","2"
"0433","1","2","1","2.0","","2"
"0433","1","3","1","1.0","","2"
"0433","2","1","1","2.0","","2"
"0433","2","2","2","1.0","","2"
"0433","2","3","2","2.0","","2"
"0433","3","1","1","0.0","","2"
"0433","3","2","1","1.0","","2"
"0433","3","3","2","0.0","","2"
"0433","4","1","1","1.0","","2"
"0433","4","2","1","2.0","","2"
"0433","4","3","1","2.0","","2"
"0645","1","1","1","5.0","","1"
"0645","1","2","1","5.0","","2"
"0645","1","3","1","3.0","","2"
"0645","2","1","1","0.0","","2"
"0645","2","2","1","10.0","","2"
"0645","2","3","1","3.0","","2"
"0645","3","1","1","2.0","","2"
"0645","3","2","1","3.0","","2"
"0645","3","3","1","5.0","","2"
"0645","4","1","1","10.0","","2"
"0645","4","2","1","2.0","","2"
"0645","4","3","1","6.0","","2"
"0978","1","1","1","4.0","","2"
"0978","1","2","1","1.0","","2"
"0978","1","3","1","5.0","","2"
"0978","2","1","1","1.0","","2"
"0978","2","2","1","1.0","","2"
"0978","2","3","1","4.0","","2"
"0978","3","1","1","6.0","","2"
"0978","3","2","1","3.0","","2"
"0978","3","3","1","6.0","","2"
"0978","4","1","1","3.0","","2"
"0978","4","2","1","10.0","","1"
"0978","4","3","1","2.0","","2"
"0953","2","1","1","1.0","","2"
"0953","2","2","1","4.0","","2"
"0953","2","3","1","5.0","","2"
"0953","3","1","1","2.0","","2"
"0953","3","2","1","1.0","","2"
"0953","3","3","1","5.0","","2"
"0953","4","1","1","3.0","","2"
"0953","4","2","1","3.0","","2"
"0953","4","3","1","5.0","","2"
"0953","1","11","1","2.0","","2"
"0953","1","2","1","2.0","","2"
"0953","1","3","1","4.0","","2"
"0622","1","1","1","2.0","","2"
"0622","1","2","1","2.0","","1"
"0622","1","3","1","1.0","","2"
"0622","2","1","1","2.0","","2"
"0622","2","2","1","6.0","","2"
"0622","2","3","1","2.0","","1"
"0622","3","1","1","3.0","","2"
"0622","3","2","1","1.0","","2"
