"su_su_no","plot_plot_no","tree_lucs","lucc","tree_no","tree_or_stump","tree_species_code","tree_species_scientific_name","tree_species_vernacular_name","tree_species_language_code","tree_species_language_variety","other_species","tree_axis_distance","tree_axis_distance_unit_name","tree_left_axis","tree_left_axis_unit_name","tree_right_axis","tree_right_axis_unit_name","diameter","diameter_unit_name","tree_dbh","tree_dbh_unit_name","tree_diameter_height","tree_diameter_height_unit_name","years_since_cut","tree_height","tree_height_unit_name","tree_bole_height","tree_bole_height_unit_name","stem_quality","crown_condition","overall_tree_condition","causative_agent[1]","causative_agent_qualifier[1]","causative_agent[2]","causative_agent_qualifier[2]","causative_agent[3]","causative_agent_qualifier[3]","decomposition_status","branch1_diameter","branch1_diameter_unit_name","branch1_length","branch1_length_unit_name","branch2_diameter","branch2_diameter_unit_name","branch2_length","branch2_length_unit_name","branch3_diameter","branch3_diameter_unit_name","branch3_length","branch3_length_unit_name","branch4_diameter","branch4_diameter_unit_name","branch4_length","branch4_length_unit_name"
"0695","1","1","FSD","45","stump","COM/ACU","Combretum aculeatum","","","","","147.0","","4.0","","","","17.0","","14.0","","1.0","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","46","tree","COM/ACU","Combretum aculeatum","","","","","155.0","","6.0","","","","23.0","","19.0","","1.3","","","8.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","47","tree","COM/ACU","Combretum aculeatum","","","","","162.0","","5.0","","","","19.0","","18.0","","1.3","","","8.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","48","tree","BOS/PAP","Boswellia papyrifera","","","","","165.0","","","","5.0","","25.0","","23.0","","1.3","","","11.0","","3.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","49","tree","COM/ACU","Combretum aculeatum","","","","","167.0","","","","3.0","","24.0","","22.0","","1.3","","","10.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","50","tree","BOS/PAP","Boswellia papyrifera","","","","","167.0","","9.0","","","","21.0","","18.0","","1.3","","","11.0","","3.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","51","tree","ANO/LEI","Anogeissus leiocarpus","","","","","177.0","","10.0","","","","29.0","","27.0","","1.3","","","12.0","","5.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","52","tree","ANO/LEI","Anogeissus leiocarpus","","","","","178.0","","5.0","","","","15.0","","14.0","","1.3","","","10.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","53","tree","","","","","","","186.0","","6.0","","","","21.0","","20.0","","1.3","","","11.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","54","tree","","","","","","","186.0","","10.0","","","","23.0","","22.0","","1.3","","","13.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","55","tree","BOS/PAP","Boswellia papyrifera","","","","","186.0","","8.0","","","","36.0","","34.0","","1.3","","","11.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","56","stump","COM/ACU","Combretum aculeatum","","","","","186.0","","","","7.0","","12.0","","12.0","","1.3","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","57","tree","STE/SET","Sterculia setigera","","","","","197.0","","","","4.0","","33.0","","30.0","","1.3","","","8.0","","1.4","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","58","tree","BOS/PAP","Boswellia papyrifera","","","","","204.0","","7.0","","","","26.0","","24.0","","1.3","","","12.0","","4.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","59","tree","ANO/LEI","Anogeissus leiocarpus","","","","","212.0","","2.0","","","","34.0","","32.0","","1.3","","","12.0","","1.6","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","60","tree","ANO/LEI","Anogeissus leiocarpus","","","","","213.0","","6.0","","","","16.0","","14.0","","1.3","","","8.0","","1.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","61","tree","COM/ACU","Combretum aculeatum","","","","","217.0","","","","2.0","","17.0","","17.0","","1.3","","","11.0","","5.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","62","tree","COM/ACU","Combretum aculeatum","","","","","217.0","","","","2.0","","15.0","","14.0","","1.3","","","8.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","63","stump","ACA/GER/GER","Acacia gerrardii var. gerrardii","","","","","223.0","","","","2.0","","20.0","","20.0","","1.0","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","64","tree","COM/ACU","Combretum aculeatum","","","","","223.0","","4.0","","","","22.0","","20.0","","1.3","","","9.0","","1.4","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","65","tree","COM/ACU","Combretum aculeatum","","","","","223.0","","","","10.0","","23.0","","21.0","","1.3","","","10.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","66","tree","BOS/PAP","Boswellia papyrifera","","","","","227.0","","6.0","","","","24.0","","24.0","","1.3","","","11.0","","5.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","1","1","FSD","67","tree","COM/ACU","Combretum aculeatum","","","","","241.0","","","","2.0","","21.0","","19.0","","1.0","","","4.0","","1.2","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","2","1","FSD","1","tree","","","","","","","3.0","","2.0","","","","17.0","","15.0","","1.0","","","4.0","","1.2","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","2","1","FSD","2","tree","COM/ACU","Combretum aculeatum","","","","","5.0","","","","6.0","","22.0","","20.0","","1.3","","","6.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","1","tree","STE/SET","Sterculia setigera","","","","","3.0","","","","8.0","","47.0","","32.0","","1.3","","","11.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","2","tree","BOS/PAP","Boswellia papyrifera","","","","","12.0","","7.0","","","","33.0","","28.0","","1.3","","","12.0","","4.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","3","tree","DAL/MEL","Dalbergia melanoxylon","","","","","20.0","","2.0","","","","30.0","","15.0","","1.3","","","7.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","4","tree","BOS/PAP","Boswellia papyrifera","","","","","22.0","","1.0","","","","24.0","","23.0","","1.3","","","12.0","","9.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","5","tree","BOS/PAP","Boswellia papyrifera","","","","","31.0","","1.0","","","","35.0","","33.0","","1.3","","","12.0","","5.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","6","tree","ANO/LEI","Anogeissus leiocarpus","","","","","35.0","","4.0","","","","25.0","","20.0","","1.3","","","10.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","7","tree","BOS/PAP","Boswellia papyrifera","","","","","37.0","","","","1.0","","27.0","","25.0","","1.3","","","14.0","","6.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","8","tree","BOS/PAP","Boswellia papyrifera","","","","","39.0","","","","0.5","","24.0","","18.0","","1.3","","","13.0","","6.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","9","tree","BOS/PAP","Boswellia papyrifera","","","","","40.0","","8.0","","","","32.0","","29.0","","1.3","","","13.0","","7.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","10","tree","BOS/PAP","Boswellia papyrifera","","","","","41.0","","2.0","","","","19.0","","17.0","","1.3","","","11.0","","8.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","11","stump","BOS/PAP","Boswellia papyrifera","","","","","42.0","","1.0","","","","19.0","","17.0","","1.3","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","12","stump","COM/ACU","Combretum aculeatum","","","","","43.0","","4.0","","","","14.0","","14.0","","1.0","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","13","tree","BOS/PAP","Boswellia papyrifera","","","","","45.0","","","","1.0","","27.0","","26.0","","1.3","","","12.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","14","tree","BOS/PAP","Boswellia papyrifera","","","","","48.0","","","","2.0","","32.0","","29.0","","1.3","","","13.0","","4.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","15","tree","ANO/LEI","Anogeissus leiocarpus","","","","","51.0","","3.0","","","","25.0","","20.0","","1.3","","","9.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","16","tree","","","","","","","64.0","","","","2.0","","17.0","","14.0","","1.3","","","7.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","17","tree","ACA/GER/GER","Acacia gerrardii var. gerrardii","","","","","77.0","","3.0","","","","22.0","","22.0","","1.0","","","9.0","","1.2","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","18","tree","","","","","","","81.0","","","","9.0","","28.0","","24.0","","1.3","","","9.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","19","tree","ANO/LEI","Anogeissus leiocarpus","","","","","89.0","","","","3.0","","44.0","","33.0","","1.3","","","11.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","20","tree","STE/SET","Sterculia setigera","","","","","90.0","","","","4.0","","36.0","","26.0","","1.3","","","10.0","","5.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","21","tree","BOS/PAP","Boswellia papyrifera","","","","","93.0","","3.0","","","","26.0","","24.0","","1.3","","","12.0","","8.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","22","tree","ANO/LEI","Anogeissus leiocarpus","","","","","101.0","","3.0","","","","37.0","","30.0","","1.3","","","11.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","23","tree","ANO/LEI","Anogeissus leiocarpus","","","","","106.0","","2.0","","","","36.0","","28.0","","1.3","","","9.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","24","tree","BOS/PAP","Boswellia papyrifera","","","","","107.0","","5.0","","","","37.0","","34.0","","1.3","","","12.0","","7.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","25","tree","COM/ACU","Combretum aculeatum","","","","","112.0","","1.0","","","","24.0","","21.0","","1.0","","","12.0","","1.4","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","26","tree","BOS/PAP","Boswellia papyrifera","","","","","114.0","","2.0","","","","24.0","","24.0","","1.3","","","11.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","27","tree","BOS/PAP","Boswellia papyrifera","","","","","116.0","","3.0","","","","36.0","","34.0","","1.3","","","13.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","28","tree","ANO/LEI","Anogeissus leiocarpus","","","","","118.0","","","","9.0","","30.0","","15.0","","1.3","","","9.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","29","tree","STE/SET","Sterculia setigera","","","","","134.0","","5.0","","","","35.0","","33.0","","1.3","","","10.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","30","tree","ANO/LEI","Anogeissus leiocarpus","","","","","136.0","","6.0","","","","38.0","","20.0","","1.3","","","12.0","","5.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","31","tree","COM/ACU","Combretum aculeatum","","","","","153.0","","","","1.0","","15.0","","11.0","","1.3","","","6.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","32","tree","COM/ACU","Combretum aculeatum","","","","","149.0","","4.0","","","","12.0","","11.0","","1.3","","","6.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","33","tree","COM/ACU","Combretum aculeatum","","","","","124.0","","","","7.0","","12.0","","11.0","","1.3","","","7.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","34","tree","SCL/BIR","Sclerocarya birrea","","","","","173.0","","","","4.0","","53.0","","50.0","","1.3","","","14.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","35","tree","DAL/MEL","Dalbergia melanoxylon","","","","","178.0","","","","5.0","","45.0","","43.0","","1.3","","","10.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","36","tree","","","","","","","152.0","","","","2.0","","29.0","","24.0","","1.3","","","11.0","","5.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","37","tree","DAL/MEL","Dalbergia melanoxylon","","","","","184.0","","2.0","","","","45.0","","23.0","","1.3","","","8.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","38","tree","ANO/LEI","Anogeissus leiocarpus","","","","","190.0","","5.0","","","","31.0","","15.0","","1.3","","","7.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","39","tree","","","","","","","204.0","","5.0","","","","32.0","","20.0","","1.3","","","9.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","40","tree","","","","","","","206.0","","","","1.0","","23.0","","18.0","","1.3","","","4.0","","2.0","","1","5","4","6","","","","","","5","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","41","tree","STE/SET","Sterculia setigera","","","","","207.0","","","","2.0","","48.0","","46.0","","1.3","","","14.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","42","tree","STE/SET","Sterculia setigera","","","","","208.0","","6.0","","","","17.0","","16.0","","1.3","","","9.0","","5.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","43","tree","STE/SET","Sterculia setigera","","","","","208.0","","6.0","","","","43.0","","37.0","","1.2","","","13.0","","1.4","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","44","stump","BAL/AEG","Balanites aegyptiaca","","","","","213.0","","1.0","","","","10.0","","10.0","","1.3","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","45","tree","ANO/LEI","Anogeissus leiocarpus","","","","","217.0","","","","5.0","","36.0","","31.0","","1.3","","","8.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","46","tree","ANO/LEI","Anogeissus leiocarpus","","","","","219.0","","7.0","","","","38.0","","37.0","","1.3","","","8.0","","1.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","47","tree","ANO/LEI","Anogeissus leiocarpus","","","","","219.0","","6.0","","","","19.0","","15.0","","1.3","","","12.0","","5.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","48","tree","ANO/LEI","Anogeissus leiocarpus","","","","","220.0","","6.0","","","","18.0","","12.0","","1.3","","","8.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","49","tree","COM/ACU","Combretum aculeatum","","","","","229.0","","","","4.0","","38.0","","30.0","","1.3","","","14.0","","4.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","50","tree","STE/SET","Sterculia setigera","","","","","240.0","","8.0","","","","38.0","","27.0","","1.3","","","10.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0695","4","1","FSD","51","tree","STE/SET","Sterculia setigera","","","","","240.0","","8.0","","","","38.0","","28.0","","1.3","","","11.0","","7.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","1","stump","COM/ACU","Combretum aculeatum","","","","","43.0","","","","1.0","","43.0","","43.0","","1.0","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","2","tree","COM/ACU","Combretum aculeatum","","","","","43.0","","","","2.0","","30.0","","27.0","","1.3","","","10.0","","1.2","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","3","tree","DAL/MEL","Dalbergia melanoxylon","","","","","48.0","","1.0","","","","24.0","","19.0","","1.3","","","7.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","4","tree","MAE/CRA","Maerua crassifolia","","","","","48.0","","","","4.0","","32.0","","32.0","","1.3","","","11.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","5","stump","COM/ACU","Combretum aculeatum","","","","","52.0","","2.0","","","","30.0","","30.0","","0.5","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","6","tree","COM/ACU","Combretum aculeatum","","","","","52.0","","4.0","","","","39.0","","39.0","","1.3","","","13.0","","7.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","7","tree","BAL/AEG","Balanites aegyptiaca","","","","","52.0","","7.0","","","","32.0","","28.0","","1.3","","","10.0","","4.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","8","tree","BAL/AEG","Balanites aegyptiaca","","","","","52.0","","","","8.0","","43.0","","40.0","","","","","11.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","9","tree","BAL/AEG","Balanites aegyptiaca","","","","","55.0","","","","1.0","","52.0","","42.0","","1.3","","","12.0","","7.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","10","tree","COM/CAP","Combretum capituliflorum","","","","","55.0","","2.0","","","","24.0","","18.0","","1.3","","","9.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","11","stump","COM/ACU","Combretum aculeatum","","","","","56.0","","2.0","","","","23.0","","23.0","","0.6","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","12","tree","COM/ACU","Combretum aculeatum","","","","","70.0","","4.0","","","","32.0","","29.0","","","","","10.0","","1.8","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","13","stump","COM/ACU","Combretum aculeatum","","","","","72.0","","6.0","","","","20.0","","20.0","","0.4","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","14","tree","BAL/AEG","Balanites aegyptiaca","","","","","147.0","","6.0","","","","22.0","","12.0","","1.3","","","7.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","15","tree","COM/ACU","Combretum aculeatum","","","","","210.0","","","","8.0","","40.0","","34.0","","1.3","","","13.0","","5.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","1","1","FSD","16","tree","BAL/AEG","Balanites aegyptiaca","","","","","210.0","","8.0","","","","32.0","","21.0","","1.3","","","13.0","","8.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","1","tree","BAL/AEG","Balanites aegyptiaca","","","","","16.0","","","","0.5","","23.0","","19.0","","1.3","","","7.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","2","tree","STE/SET","Sterculia setigera","","","","","51.0","","3.0","","","","52.0","","50.0","","1.3","","","12.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","3","tree","LAN/FRU","Lannea fruticosa","","","","","56.0","","5.0","","","","24.0","","23.0","","1.3","","","5.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","4","tree","LAN/FRU","Lannea fruticosa","","","","","56.0","","8.0","","","","23.0","","19.0","","1.3","","","5.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","5","tree","COM/ACU","Combretum aculeatum","","","","","87.0","","2.0","","","","27.0","","20.0","","1.3","","","10.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","6","tree","BAL/AEG","Balanites aegyptiaca","","","","","137.0","","","","2.0","","24.0","","18.0","","1.3","","","9.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","7","tree","LAN/FRU","Lannea fruticosa","","","","","134.0","","","","7.0","","22.0","","21.0","","0.75","","","6.0","","1.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","8","tree","LAN/FRU","Lannea fruticosa","","","","","135.0","","","","7.0","","18.0","","15.0","","1.3","","","5.0","","1.2","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","9","tree","LAN/FRU","Lannea fruticosa","","","","","150.0","","","","8.0","","21.0","","19.0","","0.6","","","4.0","","0.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","10","tree","LAN/FRU","Lannea fruticosa","","","","","153.0","","","","10.0","","19.0","","14.0","","1.3","","","5.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","11","tree","LAN/FRU","Lannea fruticosa","","","","","156.0","","","","7.0","","17.0","","11.0","","1.3","","","5.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","12","tree","LAN/FRU","Lannea fruticosa","","","","","159.0","","","","9.0","","16.0","","13.0","","1.3","","","5.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","13","tree","STE/SET","Sterculia setigera","","","","","177.0","","","","5.0","","52.0","","52.0","","0.3","","","10.0","","0.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","14","tree","BAL/AEG","Balanites aegyptiaca","","","","","193.0","","","","6.0","","24.0","","23.0","","1.3","","","10.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","15","tree","LAN/FRU","Lannea fruticosa","","","","","209.0","","","","8.0","","20.0","","18.0","","1.0","","","4.0","","1.1","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","16","tree","LAN/FRU","Lannea fruticosa","","","","","212.0","","","","3.0","","19.0","","18.0","","0.5","","","5.0","","0.6","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","2","1","FSD","17","tree","COM/ACU","Combretum aculeatum","","","","","243.0","","","","4.0","","24.0","","20.0","","1.3","","","7.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","3","1","FSD","1","stump","COM/ACU","Combretum aculeatum","","","","","10.0","","","","4.0","","25.0","","23.0","","1.0","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0960","3","1","FSD","2","tree","BAL/AEG","Balanites aegyptiaca","","","","","41.0","","","","1.0","","34.0","","30.0","","1.3","","","13.0","","4.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","3","1","FSD","3","tree","COM/ACU","Combretum aculeatum","","","","","99.0","","","","5.0","","32.0","","30.0","","1.3","","","11.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","3","1","FSD","4","tree","STE/SET","Sterculia setigera","","","","","101.0","","7.0","","","","58.0","","56.0","","1.3","","","12.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","3","1","FSD","5","tree","STE/SET","Sterculia setigera","","","","","111.0","","","","6.0","","80.0","","61.0","","1.3","","","16.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","3","1","FSD","6","tree","STE/SET","Sterculia setigera","","","","","115.0","","","","5.0","","41.0","","34.0","","1.3","","","12.0","","4.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","3","1","FSD","7","tree","STE/SET","Sterculia setigera","","","","","118.0","","","","9.0","","52.0","","50.0","","1.3","","","13.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","3","1","FSD","8","tree","DAL/MEL","Dalbergia melanoxylon","","","","","196.0","","5.0","","","","50.0","","39.0","","1.3","","","9.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","3","1","FSD","9","tree","STE/SET","Sterculia setigera","","","","","198.0","","","","2.0","","85.0","","80.0","","1.3","","","14.0","","4.0","","1","5","5","3","","","","","","5","","","","","","","","","","","","","","","",""
"0960","3","1","FSD","10","tree","STE/SET","Sterculia setigera","","","","","238.0","","","","7.0","","83.0","","81.0","","1.3","","","13.0","","4.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","4","1","FSD","1","tree","LAN/FRU","Lannea fruticosa","","","","","30.0","","8.0","","","","17.0","","13.0","","1.3","","","5.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","4","1","FSD","2","tree","STE/SET","Sterculia setigera","","","","","43.0","","1.0","","","","69.0","","65.0","","1.3","","","14.0","","4.0","","2","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","4","1","FSD","3","tree","BAL/AEG","Balanites aegyptiaca","","","","","53.0","","","","5.0","","32.0","","27.0","","1.3","","","8.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","4","1","FSD","4","tree","BAL/AEG","Balanites aegyptiaca","","","","","65.0","","","","6.0","","38.0","","30.0","","1.3","","","10.0","","4.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","4","1","FSD","5","tree","BAL/AEG","Balanites aegyptiaca","","","","","72.0","","","","9.0","","48.0","","43.0","","1.3","","","12.0","","7.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","4","1","FSD","6","tree","ANO/LEI","Anogeissus leiocarpus","","","","","95.0","","5.0","","","","30.0","","23.0","","1.3","","","9.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","4","1","FSD","7","tree","ANO/LEI","Anogeissus leiocarpus","","","","","95.0","","5.0","","","","33.0","","20.0","","1.3","","","5.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0960","4","1","FSD","8","tree","BAL/AEG","Balanites aegyptiaca","","","","","96.0","","8.0","","","","28.0","","17.0","","1.3","","","9.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
