"su_su_no","plot_plot_no","tree_lucs","lucc","tree_no","tree_or_stump","tree_species_code","tree_species_scientific_name","tree_species_vernacular_name","tree_species_language_code","tree_species_language_variety","other_species","tree_axis_distance","tree_axis_distance_unit_name","tree_left_axis","tree_left_axis_unit_name","tree_right_axis","tree_right_axis_unit_name","diameter","diameter_unit_name","tree_dbh","tree_dbh_unit_name","tree_diameter_height","tree_diameter_height_unit_name","years_since_cut","tree_height","tree_height_unit_name","tree_bole_height","tree_bole_height_unit_name","stem_quality","crown_condition","overall_tree_condition","causative_agent[1]","causative_agent_qualifier[1]","causative_agent[2]","causative_agent_qualifier[2]","causative_agent[3]","causative_agent_qualifier[3]","decomposition_status","branch1_diameter","branch1_diameter_unit_name","branch1_length","branch1_length_unit_name","branch2_diameter","branch2_diameter_unit_name","branch2_length","branch2_length_unit_name","branch3_diameter","branch3_diameter_unit_name","branch3_length","branch3_length_unit_name","branch4_diameter","branch4_diameter_unit_name","branch4_length","branch4_length_unit_name"
"0928","2","1","FSD","10","tree","","","","","","","57.0","","","","10.0","","39.0","","37.0","","1.0","","","6.0","","1.1","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","11","tree","COM/ACU","Combretum aculeatum","","","","","57.0","","6.0","","","","19.0","","18.0","","1.3","","","5.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","12","tree","COM/ACU","Combretum aculeatum","","","","","57.0","","7.0","","","","21.0","","19.0","","1.0","","","6.0","","1.1","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","13","tree","","","","","","","60.0","","","","2.0","","35.0","","30.0","","1.1","","","7.0","","1.2","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","14","tree","","","","","","","60.0","","5.0","","","","29.0","","27.0","","1.3","","","9.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","15","tree","","","","","","","60.0","","5.0","","","","20.0","","18.0","","","","","9.0","","","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","16","tree","","","","","","","59.0","","9.0","","","","23.0","","21.0","","1.3","","","10.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","17","tree","","","","","","","60.0","","10.0","","","","20.0","","19.0","","1.3","","","9.0","","1.4","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","18","tree","","","","","","","62.0","","2.0","","","","13.0","","11.0","","0.5","","","3.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","19","tree","","","","","","","62.0","","4.0","","1.0","","21.0","","19.0","","0.5","","","6.0","","0.6","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","","","20","tree","","","","","","","63.0","","","","7.0","","24.0","","22.0","","1.3","","","7.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","21","tree","TER/BRO","Terminalia brownii","","","","","64.0","","","","3.0","","31.0","","29.0","","1.3","","","13.0","","4.0","","1","5","5","6","","","","","","2","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","22","tree","","","","","","","63.0","","1.0","","","","36.0","","34.0","","1.3","","","13.0","","2.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","23","tree","","","","","","","63.0","","","","2.0","","17.0","","14.0","","1.3","","","5.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","24","tree","","","","","","","63.0","","","","4.0","","22.0","","22.0","","1.3","","","9.0","","4.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","25","tree","","","","","","","63.0","","4.0","","","","22.0","","20.0","","1.0","","","6.0","","1.2","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","26","tree","","","","","","","65.0","","9.0","","","","25.0","","24.0","","1.3","","","10.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","27","tree","","","","","","","65.0","","","","1.0","","17.0","","16.0","","1.3","","","7.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","28","tree","","","","","","","66.0","","","","2.0","","11.0","","10.0","","11.3","","","4.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","29","tree","","","","","","","66.0","","1.0","","","","47.0","","45.0","","1.3","","","14.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","30","tree","","","","","","","66.0","","2.0","","","","78.0","","65.0","","","","","14.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","31","tree","","","","","","","71.0","","","","1.0","","18.0","","16.0","","1.3","","","8.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","32","tree","BAU/TOM","Bauhinia tomentosa","","","","","76.0","","7.0","","","","15.0","","14.0","","1.3","","","6.0","","1.6","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","33","tree","","","","","","","76.0","","7.0","","","","12.0","","10.0","","1.3","","","6.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","34","tree","BAL/AEG","Balanites aegyptiaca","","","","","93.0","","","","2.0","","13.0","","12.0","","1.0","","","4.0","","1.3","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","35","tree","ANO/LEI","Anogeissus leiocarpus","","","","","94.0","","","","1.0","","24.0","","22.0","","","","","6.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","36","tree","ANO/LEI","Anogeissus leiocarpus","","","","","94.0","","","","5.0","","25.0","","24.0","","1.3","","","7.0","","2.0","","2","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","37","tree","BAL/AEG","Balanites aegyptiaca","","","","","98.0","","5.0","","","","32.0","","30.0","","1.3","","","8.0","","1.6","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","38","tree","ACA/SEN","Acacia senegal","","","","","154.0","","","","4.0","","18.0","","15.0","","0.5","","","5.0","","0.7","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","39","tree","BAL/AEG","Balanites aegyptiaca","","","","","165.0","","6.0","","","","13.0","","13.0","","1.3","","","7.0","","3.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","40","tree","BAL/AEG","Balanites aegyptiaca","","","","","185.0","","9.0","","","","45.0","","40.0","","1.3","","","7.0","","2.0","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","41","tree","BAL/AEG","Balanites aegyptiaca","","","","","218.0","","","","6.0","","26.0","","19.0","","","","","6.0","","1.5","","3","1","1","","","","","","","","","","","","","","","","","","","","","","",""
"0928","2","1","FSD","42","tree","ALB/AMA","Albizia amara","","","","","238.0","","8.0","","","","29.0","","19.0","","1.3","","","45.0","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
