"su_su_no","plot_plot_no","mp_no","mp_lucs_no","slope","slope_unit_name","slope_orientation","slope_orientation_unit_name","relief","relief_qualifier","mp_photo_no","mp_photo_bearing","mp_photo_bearing_unit_name","organic_layer_thickness","organic_layer_thickness_unit_name","soil_drainage"
"0543","4","2","1","11.6","","0.0","","7","","2","0.0","","1.0","","3"
"0543","4","3","1","6.5","","45.0","","8","","3","45.0","","2.0","","3"
"0960","1","1","1","3.7","","0.0","","8","","1","0.0","","5.0","","3"
"0960","1","2","1","4.1","","0.0","","8","","2","0.0","","11.0","","3"
"0960","1","3","1","3.7","","180.0","","8","","3","180.0","","3.0","","3"
"0960","2","1","1","2.6","","270.0","","8","","1","270.0","","3.0","","3"
"0960","2","2","1","1.4","","270.0","","8","","2","270.0","","5.0","","3"
"0960","2","3","1","1.9","","270.0","","8","","3","270.0","","7.0","","3"
"0960","3","1","1","3.3","","240.0","","8","","1","240.0","","3.0","","3"
"0960","3","2","1","1.6","","220.0","","8","","2","220.0","","5.0","","3"
"0960","3","3","1","2.4","","270.0","","8","","3","270.0","","6.0","","3"
"0960","4","1","1","0.9","","270.0","","8","","1","270.0","","5.0","","3"
"0960","4","2","1","2.6","","260.0","","8","","2","260.0","","4.0","","3"
"0960","4","3","1","3.9","","180.0","","8","","3","180.0","","2.0","","3"
"0797","1","1","1","5.0","","0.0","","8","","1","0.0","","0.0","","3"
"0797","1","2","1","5.0","","0.0","","8","","2","0.0","","0.0","","3"
"0797","1","3","1","5.0","","180.0","","8","","3","180.0","","0.0","","3"
"0797","2","1","1","8.0","","90.0","","5","","1","90.0","","0.0","","3"
"0797","2","2","1","4.0","","90.0","","8","","2","90.0","","2.0","","3"
"0797","2","3","1","2.0","","270.0","","8","","3","270.0","","0.0","","3"
"0797","3","1","1","1.0","","180.0","","8","","1","180.0","","0.0","","3"
"0797","3","2","1","1.0","","180.0","","8","","2","180.0","","0.0","","3"
"0797","3","3","1","1.0","","0.0","","8","","3","0.0","","0.0","","3"
"0797","4","1","1","1.0","","270.0","","8","","1","270.0","","2.0","","3"
"0797","4","2","1","1.0","","270.0","","8","","2","270.0","","2.0","","3"
"0797","4","3","1","1.0","","90.0","","8","","3","90.0","","2.0","","3"
"0902","4","1","1","5.6","","270.0","","8","","1","270.0","","4.0","","3"
"0902","4","2","1","4.8","","270.0","","8","","2","270.0","","3.0","","3"
"0902","4","3","1","6.4","","90.0","","8","","3","90.0","","10.0","","3"
"0902","1","1","1","2.7","","0.0","","8","","1","0.0","","0.0","","3"
"0902","1","2","1","1.3","","0.0","","8","","2","0.0","","1.0","","3"
"0902","1","3","1","4.7","","180.0","","8","","3","180.0","","2.0","","3"
"0902","2","1","","","","","","","","1","","","","",""
"0902","2","2","","","","","","","","2","","","","",""
"0902","2","3","","","","","","","","3","","","","",""
"0902","3","1","1","8.8","","180.0","","8","","1","180.0","","9.0","","3"
"0902","3","2","1","5.7","","330.0","","8","","2","330.0","","8.0","","3"
"0902","3","3","1","11.0","","180.0","","8","","3","180.0","","1.0","","3"
"0433","1","1","1","3.8","","0.0","","11","","1","0.0","","0.0","","3"
"0433","1","2","1","3.1","","0.0","","5","","2","0.0","","0.0","","3"
"0433","1","3","1","5.1","","180.0","","11","","3","180.0","","0.0","","3"
"0433","2","1","1","6.7","","90.0","","11","","1","90.0","","0.0","","3"
"0433","2","2","2","2.9","","90.0","","11","","2","90.0","","0.0","","3"
"0433","2","3","2","1.2","","270.0","","11","","3","270.0","","0.0","","3"
"0433","3","1","1","16.0","","90.0","","11","","1","90.0","","0.0","","3"
"0433","3","2","1","17.5","","180.0","","11","","2","180.0","","0.0","","3"
"0433","3","3","2","0.4","","0.0","","8","","3","0.0","","0.0","","3"
"0433","4","1","1","7.1","","270.0","","8","","1","270.0","","0.0","","3"
"0433","4","2","1","15.7","","180.0","","11","","2","180.0","","0.0","","3"
"0433","4","3","1","2.9","","90.0","","11","","3","90.0","","0.0","","3"
"0645","1","1","1","3.5","","180.0","","8","","1","180.0","","3.0","","3"
"0645","1","2","1","4.0","","180.0","","8","","2","180.0","","4.0","","3"
"0645","1","3","1","2.5","","180.0","","8","","3","180.0","","5.0","","3"
"0645","2","1","1","5.0","","180.0","","8","","1","180.0","","0.0","","3"
"0645","2","2","1","4.9","","180.0","","8","","2","180.0","","15.0","","3"
"0645","2","3","2","4.9","","180.0","","8","","3","180.0","","1.0","","3"
"0645","3","1","1","3.9","","180.0","","8","","1","180.0","","4.0","","2"
"0645","3","2","1","3.5","","180.0","","8","","2","180.0","","3.0","","2"
"0645","3","3","1","4.0","","180.0","","8","","3","180.0","","5.0","","2"
"0645","4","1","1","1.7","","180.0","","8","","1","180.0","","5.0","","2"
"0645","4","2","1","6.0","","270.0","","8","","2","270.0","","3.0","","2"
"0645","4","3","1","6.2","","180.0","","8","","3","180.0","","8.0","","2"
"0978","1","1","1","2.7","","0.0","","8","","1","0.0","","5.0","","3"
"0978","1","2","1","4.5","","0.0","","8","","2","0.0","","5.0","","3"
"0978","1","3","1","8.9","","340.0","","5","","3","340.0","","5.0","","3"
"0978","2","1","1","2.1","","90.0","","8","","1","90.0","","2.0","","3"
"0978","2","2","1","2.0","","90.0","","8","","2","90.0","","4.0","","3"
"0978","2","3","1","2.4","","180.0","","8","","3","180.0","","5.0","","3"
"0978","3","1","1","2.6","","180.0","","8","","1","180.0","","15.0","","3"
"0978","3","2","1","1.7","","180.0","","8","","2","180.0","","4.0","","3"
"0978","3","3","1","1.5","","180.0","","8","","3","180.0","","7.0","","3"
"0978","4","1","1","1.9","","270.0","","8","","1","270.0","","7.0","","3"
"0978","4","2","1","2.8","","0.0","","8","","2","0.0","","12.0","","3"
"0978","4","3","1","4.0","","90.0","","8","","3","90.0","","3.0","","3"
"0953","2","1","1","3.8","","90.0","","8","","1","90.0","","1.0","","3"
"0953","2","2","1","4.2","","270.0","","8","","2","270.0","","10.0","","3"
"0953","2","3","1","3.4","","270.0","","8","","3","270.0","","5.0","","3"
"0953","3","1","1","2.5","","180.0","","8","","1","180.0","","5.0","","3"
"0953","3","2","1","4.1","","0.0","","8","","2","0.0","","2.0","","3"
"0953","3","3","1","1.9","","0.0","","8","","3","0.0","","5.0","","3"
"0953","4","1","1","2.2","","270.0","","8","","1","270.0","","10.0","","3"
"0953","4","2","1","2.2","","270.0","","8","","2","270.0","","5.0","","3"
"0953","4","3","1","3.4","","90.0","","8","","3","90.0","","10.0","","4"
"0953","1","1","1","2.6","","0.0","","8","","1","0.0","","4.0","","3"
"0953","1","2","1","2.3","","0.0","","8","","2","0.0","","5.0","","3"
"0953","1","3","1","2.0","","180.0","","8","","3","180.0","","5.0","","3"
"0622","1","1","1","1.7","","270.0","","5","","1","270.0","","4.0","","3"
"0622","1","2","1","2.3","","180.0","","5","","2","180.0","","5.0","","3"
"0622","1","3","1","2.5","","270.0","","5","","3","270.0","","3.0","","3"
"0622","2","1","1","2.2","","270.0","","8","","1","270.0","","3.0","","3"
"0622","2","2","1","1.5","","270.0","","8","","2","270.0","","3.0","","3"
"0622","2","3","1","2.0","","270.0","","8","","3","270.0","","2.0","","3"
"0622","3","1","1","1.9","","180.0","","8","","1","180.0","","5.0","","3"
"0622","3","2","1","2.0","","180.0","","8","","2","180.0","","2.0","","3"
"0622","3","3","1","2.8","","270.0","","8","","3","270.0","","1.0","","3"
"0622","4","1","1","2.7","","270.0","","8","","1","270.0","","2.0","","3"
"0622","4","2","1","1.5","","270.0","","8","","2","270.0","","2.0","","3"
"0622","4","3","1","1.7","","270.0","","8","","3","270.0","","1.0","","3"
"0799","2","1","1","0.0","","90.0","","8","","1","90.0","","0.0","","3"
"0799","2","2","1","0.0","","90.0","","8","","2","90.0","","0.0","","3"
"0799","2","3","1","0.0","","270.0","","8","","3","270.0","","0.0","","3"
"0799","3","1","1","0.0","","180.0","","8","","1","180.0","","0.0","","3"
"0799","3","2","1","0.0","","180.0","","8","","2","180.0","","0.0","","3"
"0799","3","3","1","0.0","","0.0","","8","","3","0.0","","0.0","","3"
"0799","4","1","","","","","","","","1","","","","",""
"0799","4","2","","","","","","","","2","","","","",""
"0799","4","3","","","","","","","","3","","","","",""
"0799","1","1","","","","","","","","1","","","","",""
"0799","1","2","","","","","","","","2","","","","",""
"0799","1","3","","","","","","","","3","","","","",""
"0910","3","1","1","4.0","","180.0","","8","","1","180.0","","3.0","","3"
"0910","3","2","1","3.0","","0.0","","8","","2","0.0","","4.0","","3"
"0910","3","3","1","3.9","","0.0","","8","","3","0.0","","3.0","","3"
"0910","4","1","1","3.7","","270.0","","8","","1","270.0","","1.0","","3"
"0910","4","2","1","4.0","","270.0","","8","","2","270.0","","2.0","","3"
"0910","4","3","1","4.0","","90.0","","8","","3","90.0","","3.0","","3"
"0871","1","1","1","4.1","","0.0","","8","","1","0.0","","2.0","","3"
"0871","1","2","1","5.7","","270.0","","8","","2","270.0","","2.0","","3"
"0871","1","3","1","4.0","","180.0","","8","","3","180.0","","5.0","","3"
"0871","2","1","1","2.5","","180.0","","8","","1","180.0","","8.0","","3"
"0871","2","2","1","2.8","","270.0","","8","","2","270.0","","20.0","","3"
"0871","2","3","1","4.4","","180.0","","8","","3","180.0","","2.0","","3"
"0871","3","1","1","4.0","","180.0","","8","","1","180.0","","1.0","","3"
"0871","3","2","1","5.7","","180.0","","8","","2","180.0","","4.0","","3"
"0871","3","3","1","2.6","","180.0","","8","","3","180.0","","2.0","","3"
"0871","4","1","1","5.4","","270.0","","8","","1","270.0","","6.0","","3"
"0871","4","2","1","4.6","","270.0","","8","","2","270.0","","2.0","","3"
"0871","4","3","1","2.4","","90.0","","8","","3","90.0","","4.0","","3"
"0613","1","1","1","6.1","","270.0","","8","","1","270.0","","2.0","","3"
"0613","1","2","1","5.9","","0.0","","8","","2","0.0","","10.0","","3"
"0613","1","3","1","4.0","","180.0","","8","","3","180.0","","15.0","","3"
"0613","2","1","1","1.6","","90.0","","8","","1","90.0","","3.0","","3"
"0613","2","2","1","2.6","","90.0","","8","","2","90.0","","1.0","","3"
"0613","2","3","1","1.9","","250.0","","8","","3","250.0","","10.0","","3"
"0613","3","1","1","4.1","","270.0","","8","","1","270.0","","8.0","","3"
"0613","3","2","1","4.1","","180.0","","8","","2","180.0","","5.0","","3"
"0613","3","3","1","4.1","","0.0","","8","","3","0.0","","4.0","","3"
"0613","4","1","1","4.7","","270.0","","8","","1","270.0","","5.0","","3"
"0613","4","2","1","4.5","","180.0","","8","","2","180.0","","5.0","","3"
"0613","4","3","1","5.0","","190.0","","8","","3","190.0","","6.0","","3"
"0522","1","1","1","1.1","","90.0","","8","","1","90.0","","3.0","","3"
"0522","1","2","1","1.2","","90.0","","8","","2","90.0","","2.0","","3"
"0522","1","3","1","1.3","","90.0","","8","","3","90.0","","3.0","","3"
"0522","2","1","1","1.5","","90.0","","8","","1","90.0","","3.0","","3"
"0522","2","2","1","0.5","","180.0","","8","","2","180.0","","2.0","","3"
"0522","2","3","1","0.3","","200.0","","8","","3","200.0","","2.0","","3"
"0522","3","1","1","3.0","","90.0","","8","","1","90.0","","1.0","","3"
"0522","3","2","1","5.3","","90.0","","8","","2","90.0","","2.0","","3"
"0522","3","3","1","1.9","","180.0","","8","","3","180.0","","3.0","","3"
"0522","4","1","1","1.8","","180.0","","8","","1","180.0","","4.0","","3"
"0522","4","2","1","2.0","","180.0","","8","","2","180.0","","8.0","","3"
"0522","4","3","1","2.9","","180.0","","8","","3","180.0","","3.0","","3"
"0640","1","1","1","4.0","","0.0","","8","","1","0.0","","2.0","","3"
"0640","1","2","1","2.0","","0.0","","8","","2","0.0","","2.0","","3"
"0640","1","3","1","1.6","","270.0","","8","","3","270.0","","2.0","","3"
"0640","2","1","1","2.0","","90.0","","8","","1","90.0","","2.0","","3"
"0640","2","2","1","4.0","","270.0","","8","","2","270.0","","1.0","","3"
"0640","2","3","1","5.0","","270.0","","8","","3","270.0","","5.0","","3"
"0640","3","1","1","5.9","","180.0","","8","","1","180.0","","5.0","","3"
"0640","3","2","1","5.0","","180.0","","8","","2","180.0","","0.0","","3"
"0640","3","3","1","1.0","","0.0","","8","","3","0.0","","2.0","","3"
"0640","4","1","1","3.7","","270.0","","8","","1","270.0","","3.0","","3"
"0640","4","2","1","2.0","","270.0","","8","","2","270.0","","2.0","","3"
"0640","4","3","1","5.0","","90.0","","8","","3","90.0","","1.0","","3"
"0567","3","1","1","4.4","","180.0","","8","","1","180.0","","7.0","","3"
"0567","3","2","1","4.7","","90.0","","8","","2","90.0","","2.0","","3"
"0567","3","3","1","2.5","","45.0","","8","","3","45.0","","6.0","","3"
"0567","4","1","1","3.7","","160.0","","8","","1","160.0","","5.0","","3"
"0567","4","2","1","4.0","","200.0","","8","","2","200.0","","7.0","","3"
"0567","4","3","1","4.0","","90.0","","8","","3","90.0","","8.0","","3"
"0567","1","1","1","4.3","","90.0","","8","","1","90.0","","3.0","","3"
"0567","1","2","1","7.9","","45.0","","8","","2","45.0","","4.0","","3"
"0567","1","3","1","7.0","","0.0","","8","","3","0.0","","4.0","","3"
