"su_su_no","plot_plot_no","mp_no","mp_lucs_no","slope","slope_unit_name","slope_orientation","slope_orientation_unit_name","relief","relief_qualifier","mp_photo_no","mp_photo_bearing","mp_photo_bearing_unit_name","organic_layer_thickness","organic_layer_thickness_unit_name","soil_drainage"
"0432","3","3","2","4.8","","0.0","","5","","3","0.0","","1.0","","3"
"0432","4","1","1","3.4","","270.0","","8","","1","270.0","","0.0","","3"
"0432","4","2","1","0.6","","270.0","","8","","2","270.0","","0.0","","3"
"0432","4","3","1","3.0","","90.0","","3","","3","90.0","","2.0","","3"
"0901","3","1","1","4.3","","180.0","","8","","1","180.0","","12.0","","3"
"0901","3","2","1","2.3","","180.0","","8","","2","180.0","","4.0","","3"
"0901","3","3","1","2.6","","180.0","","8","","3","180.0","","0.0","","3"
"0901","4","1","1","1.9","","270.0","","8","","1","270.0","","10.0","","3"
"0901","4","2","1","2.7","","270.0","","8","","2","270.0","","6.0","","3"
"0901","4","3","1","1.6","","90.0","","8","","3","90.0","","1.0","","3"
"0901","1","1","1","1.2","","260.0","","8","","1","260.0","","5.0","","3"
"0901","1","2","1","1.4","","270.0","","8","","2","270.0","","10.0","","3"
"0901","1","3","1","1.4","","180.0","","8","","3","180.0","","5.0","","3"
"0901","2","1","1","2.4","","270.0","","8","","1","270.0","","8.0","","3"
"0901","2","2","1","1.5","","180.0","","8","","2","180.0","","8.0","","3"
"0901","2","3","1","1.6","","270.0","","8","","3","270.0","","5.0","","3"
"0899","1","1","1","4.3","","0.0","","8","","1","0.0","","1.0","","3"
"0899","1","2","1","3.0","","0.0","","8","","2","0.0","","2.0","","3"
"0899","1","3","1","2.0","","180.0","","8","","3","180.0","","2.0","","3"
"0899","2","1","1","7.0","","90.0","","8","","1","90.0","","0.0","","3"
"0899","2","2","1","6.0","","90.0","","8","","2","90.0","","3.0","","3"
"0899","2","3","1","5.0","","90.0","","8","","3","90.0","","0.0","","3"
"0899","3","1","1","1.0","","180.0","","8","","1","180.0","","0.0","","3"
"0899","3","2","2","5.0","","180.0","","8","","2","180.0","","4.0","","3"
"0899","3","3","2","4.0","","0.0","","8","","3","0.0","","0.0","","3"
"0899","4","1","1","1.5","","270.0","","8","","1","270.0","","2.0","","3"
"0899","4","2","1","1.1","","270.0","","8","","2","270.0","","2.0","","3"
"0899","4","3","1","6.0","","90.0","","8","","3","90.0","","2.0","","0"
"0644","4","1","1","2.8","","330.0","","8","","1","330.0","","7.0","","3"
"0644","4","2","1","17.0","","270.0","","8","","2","270.0","","3.0","","4"
"0644","4","3","2","8.0","","90.0","","8","","3","90.0","","5.0","","2"
"0644","1","1","1","2.0","","0.0","","8","","1","0.0","","2.0","","3"
"0644","1","2","1","1.3","","0.0","","8","","2","0.0","","10.0","","3"
"0644","1","3","2","9.8","","270.0","","8","","3","270.0","","2.0","","3"
"0644","2","1","1","4.6","","270.0","","8","","1","270.0","","5.0","","3"
"0644","2","2","2","3.0","","180.0","","8","","2","180.0","","0.0","","3"
"0644","2","3","2","2.3","","270.0","","8","","3","270.0","","2.0","","3"
"0644","3","1","1","2.7","","270.0","","8","","1","270.0","","2.0","","3"
"0644","3","2","1","2.3","","270.0","","8","","2","270.0","","2.0","","3"
"0644","3","3","1","3.1","","210.0","","8","","3","210.0","","4.0","","3"
"0559","1","1","1","5.0","","0.0","","8","","1","0.0","","0.0","","3"
"0559","1","2","1","8.0","","180.0","","8","","2","180.0","","0.0","","4"
"0559","1","3","1","5.0","","180.0","","8","","3","180.0","","0.0","","3"
"0559","2","1","1","0.0","","90.0","","8","","1","90.0","","0.0","","3"
"0559","2","2","1","6.0","","90.0","","8","","2","90.0","","0.0","","3"
"0559","2","3","1","5.0","","270.0","","8","","3","270.0","","0.0","","4"
"0559","3","1","1","5.0","","180.0","","8","","1","180.0","","0.0","","3"
"0559","3","2","1","5.0","","180.0","","8","","2","180.0","","0.0","","3"
"0559","3","3","1","5.0","","0.0","","8","","3","0.0","","0.0","","3"
"0559","4","1","1","5.0","","270.0","","8","","1","270.0","","0.0","","3"
"0559","4","2","1","0.0","","270.0","","8","","2","270.0","","0.0","","3"
"0559","4","3","1","5.0","","90.0","","8","","3","90.0","","0.0","","3"
"0879","2","1","1","2.8","","90.0","","8","","1","90.0","","10.0","","3"
"0879","2","2","1","2.0","","90.0","","8","","2","90.0","","8.0","","3"
"0879","2","3","1","1.8","","90.0","","8","","3","90.0","","5.0","","3"
"0879","3","1","1","2.8","","90.0","","8","","1","90.0","","5.0","","3"
"0879","3","2","1","1.8","","90.0","","8","","2","90.0","","5.0","","3"
"0879","3","3","1","1.9","","90.0","","8","","3","90.0","","1.0","","3"
"0879","4","1","1","2.6","","90.0","","8","","1","90.0","","6.0","","3"
"0879","4","2","1","2.8","","90.0","","8","","2","90.0","","2.0","","3"
"0879","4","3","1","1.7","","90.0","","8","","3","90.0","","2.0","","3"
"0879","1","1","1","1.2","","0.0","","8","","1","0.0","","3.0","","3"
"0879","1","2","1","1.8","","0.0","","8","","2","0.0","","1.0","","3"
"0879","1","3","1","1.8","","180.0","","8","","3","180.0","","2.0","","3"
"0676","1","1","1","3.9","","0.0","","8","","1","0.0","","1.0","","3"
"0676","1","2","1","5.2","","270.0","","8","","2","270.0","","2.0","","3"
"0676","1","3","1","5.8","","90.0","","8","","3","90.0","","8.0","","3"
"0676","2","1","1","3.6","","90.0","","8","","1","90.0","","4.0","","3"
"0676","2","2","1","4.8","","90.0","","8","","2","90.0","","2.0","","3"
"0676","2","3","1","6.9","","270.0","","8","","3","270.0","","10.0","","3"
"0676","3","1","1","1.2","","220.0","","8","","1","220.0","","1.0","","3"
"0676","3","2","1","5.0","","90.0","","8","","2","90.0","","3.0","","3"
"0676","3","3","1","4.5","","90.0","","8","","3","90.0","","3.0","","3"
"0676","4","1","1","3.5","","270.0","","8","","1","270.0","","6.0","","3"
"0676","4","2","1","2.3","","270.0","","8","","2","270.0","","15.0","","3"
"0676","4","3","1","4.0","","0.0","","8","","3","0.0","","2.0","","3"
"0783","1","1","1","0.0","","0.0","","8","","1","0.0","","0.0","","3"
"0783","1","2","1","0.0","","45.0","","8","","2","45.0","","0.0","","3"
"0783","1","3","1","0.0","","180.0","","8","","3","180.0","","0.0","","3"
"0783","2","1","1","0.0","","90.0","","8","","1","90.0","","0.0","","3"
"0783","2","2","1","0.0","","90.0","","8","","2","90.0","","0.0","","2"
"0783","2","3","1","0.0","","90.0","","8","","3","90.0","","0.0","","3"
"0783","3","1","1","0.0","","180.0","","1","","1","180.0","","0.0","","2"
"0783","3","2","1","0.0","","185.0","","1","","2","185.0","","0.0","","2"
"0783","3","3","1","0.0","","180.0","","8","","3","180.0","","0.0","","3"
"0783","4","1","1","0.0","","225.0","","1","","1","225.0","","0.0","","2"
"0783","4","2","1","0.0","","270.0","","1","","2","270.0","","0.0","","2"
"0783","4","3","1","0.0","","90.0","","1","","3","90.0","","0.0","","2"
"0803","1","1","1","2.0","","180.0","","8","","1","180.0","","5.0","","3"
"0803","1","2","1","1.5","","0.0","","8","","2","0.0","","5.0","","3"
"0803","1","3","1","1.4","","180.0","","8","","3","180.0","","7.0","","3"
"0803","2","1","1","2.4","","180.0","","8","","1","180.0","","4.0","","3"
"0803","2","2","1","0.9","","180.0","","8","","2","180.0","","1.0","","3"
"0803","2","3","1","1.2","","180.0","","8","","3","180.0","","1.0","","3"
"0803","3","1","1","1.0","","180.0","","8","","1","180.0","","3.0","","3"
"0803","3","2","1","1.1","","180.0","","8","","2","180.0","","1.0","","3"
"0803","3","3","1","1.8","","180.0","","8","","3","180.0","","3.0","","3"
"0803","4","1","1","3.3","","180.0","","8","","1","180.0","","2.0","","3"
"0803","4","2","1","3.0","","180.0","","8","","2","180.0","","3.0","","3"
"0803","4","3","1","2.6","","180.0","","8","","3","180.0","","4.0","","3"
"0872","1","1","1","3.1","","90.0","","8","","1","90.0","","2.0","","3"
"0872","1","2","1","6.1","","0.0","","8","","2","0.0","","4.0","","3"
"0872","1","3","1","6.1","","180.0","","8","","3","180.0","","3.0","","3"
"0872","2","1","1","6.3","","90.0","","8","","1","90.0","","3.0","","3"
"0872","2","2","1","4.7","","90.0","","8","","2","90.0","","8.0","","3"
"0872","2","3","1","6.8","","270.0","","8","","3","270.0","","20.0","","3"
"0872","3","1","1","0.8","","180.0","","8","","1","180.0","","5.0","","3"
"0872","3","2","1","1.4","","180.0","","8","","2","180.0","","5.0","","3"
"0872","3","3","1","2.5","","0.0","","8","","3","0.0","","5.0","","3"
"0872","4","1","1","3.5","","270.0","","8","","1","270.0","","8.0","","3"
"0872","4","2","1","1.9","","270.0","","8","","2","270.0","","6.0","","3"
"0872","4","3","1","5.5","","180.0","","8","","3","180.0","","8.0","","3"
"0641","2","1","1","2.6","","90.0","","8","","1","90.0","","4.0","","3"
"0641","2","2","1","2.5","","90.0","","8","","2","90.0","","2.0","","3"
"0641","2","3","1","2.6","","90.0","","8","","3","90.0","","4.0","","3"
"0641","1","1","1","7.4","","330.0","","8","","1","330.0","","4.0","","3"
"0641","1","2","2","2.6","","180.0","","8","","2","180.0","","2.0","","3"
"0641","1","3","2","4.7","","180.0","","8","","3","180.0","","1.0","","3"
"0641","3","1","1","3.3","","90.0","","8","","1","90.0","","4.0","","3"
"0641","3","2","1","6.0","","270.0","","8","","2","270.0","","4.0","","3"
"0641","3","3","1","5.3","","0.0","","8","","3","0.0","","0.0","","3"
"0641","4","1","","","","","","","","1","","","","",""
"0641","4","2","","","","","","","","2","","","","",""
"0641","4","3","","","","","","","","3","","","","",""
"0519","2","1","1","1.2","","90.0","","8","","1","90.0","","10.0","","3"
"0519","2","2","1","1.3","","90.0","","8","","2","90.0","","0.0","","3"
"0519","2","3","1","1.8","","270.0","","8","","3","270.0","","0.0","","3"
"0519","3","1","1","4.6","","90.0","","7","","1","90.0","","3.0","","3"
"0519","3","2","1","3.2","","240.0","","8","","2","240.0","","5.0","","3"
"0519","3","3","1","1.5","","180.0","","8","","3","180.0","","0.0","","3"
"0952","3","1","1","1.5","","180.0","","8","","1","180.0","","3.0","","3"
"0952","3","2","1","4.3","","180.0","","8","","2","180.0","","2.0","","3"
"0952","3","3","1","2.7","","350.0","","8","","3","350.0","","1.0","","3"
"0952","4","11","1","0.8","","270.0","","8","","1","270.0","","2.0","","3"
"0952","4","2","","","","","","","","2","","","","",""
"0952","4","3","","","","","","","","3","","","","",""
"0952","1","1","1","2.6","","0.0","","8","","1","0.0","","8.0","","3"
"0952","1","2","1","2.8","","180.0","","8","","2","180.0","","4.0","","3"
"0952","1","3","1","1.6","","20.0","","8","","3","20.0","","12.0","","3"
