"su_su_no","plot_no","plot_access_plot_location_given_srs","plot_access_plot_location_given_x","plot_access_plot_location_given_y","plot_access_plot_starting_position_srs","plot_access_plot_starting_position_x","plot_access_plot_starting_position_y","plot_access_plot_start_time_hour","plot_access_plot_start_time_minute","plot_access_plot_end_time_hour","plot_access_plot_end_time_minute","time_work_within_plot_day_1_date_day_1_year","time_work_within_plot_day_1_date_day_1_month","time_work_within_plot_day_1_date_day_1_day","time_work_within_plot_day_1_plot_start_time_d1_hour","time_work_within_plot_day_1_plot_start_time_d1_minute","time_work_within_plot_day_1_plot_end_time_d1_hour","time_work_within_plot_day_1_plot_end_time_d1_minute","time_work_within_plot_day_2_date_day_2_year","time_work_within_plot_day_2_date_day_2_month","time_work_within_plot_day_2_date_day_2_day","time_work_within_plot_day_2_plot_start_time_d2_hour","time_work_within_plot_day_2_plot_start_time_d2_minute","time_work_within_plot_day_2_plot_end_time_d2_hour","time_work_within_plot_day_2_plot_end_time_d2_minute","middle_point_plot_middle_point_srs","middle_point_plot_middle_point_x","middle_point_plot_middle_point_y","plot_notes","plot_plan_plot_end_point_srs","plot_plan_plot_end_point_x","plot_plan_plot_end_point_y","plot_plan_plot_plan_scan","plot_plan_total_lucs_found","tree_notes","csp_tree_notes","rsp_shrub_notes","fallen_deadwood_notes","subplots_notes"
"0518","4","EPSG:32635","752768.0","1392958.0","EPSG:32635","752768.0","1392958.0","13","0","13","8","2017","11","26","13","51","18","5","","","","","","","","EPSG:32635","752643.0","1392957.0","","EPSG:32635","752518.0","1392958.0","6888_796.jpg","1","","No small tree to measure in csp 1,2,3","No shurb and bushes to measure in sp1,2,3 only less than 10 cm","",""
"0558","1","EPSG:32635","669472.0","1315553.0","EPSG:32635","669474.700347587","1315549.61877437","8","10","8","18","2017","12","10","8","18","9","30","","","","","","","","EPSG:32635","669470.812010621","1315677.15311998","","EPSG:32635","669474.336581257","1315804.09547191","23144_88.jpg","1","","No small trees to measure in Csp1, Csp2and Csp3","No shurb and bushes in Rsp1, Rsp2 and Rsp3","No fallen dead wood in FDT1 , Fdt2 andFdt3",""
"0558","2","EPSG:32635","669472.0","1316053.0","EPSG:32635","669470.363148948","1316050.61898667","9","39","10","30","2017","12","10","10","38","10","30","","","","","","","","EPSG:32635","669597.0","1316054.0","","EPSG:32635","669716.614173066","1316053.20196226","23144_344.jpg","2","","No small frees in Csp1and Csp2","No shurb and bushes in Rsp1, Rsp2 and Rsp3","No falleFDT dead wood in FDT1,FDT2 and FDT3",""
"0558","3","EPSG:32635","669972.0","1316053.0","EPSG:32635","669965.463576809","1316056.32821977","10","30","10","35","2017","12","10","10","35","11","48","","","","","","","","EPSG:32635","669973.0","1315929.0","","EPSG:32635","669973.0","1315804.0","","2","","No small trees  to measure  in Csp1, Csp2and Csp3","No shrubs and bushes  in Rsp1, Rsp2 and Rsp3","No fallen dead wood  in FDT1, Fdt2 andFdt3",""
"0558","4","EPSG:32635","669972.0","1315553.0","EPSG:32635","669961.236369785","1315560.39019702","11","48","12","8","2017","12","10","12","8","12","40","","","","","","","","EPSG:32635","669824.480002435","1315554.70694999","","EPSG:32635","669720.756369477","1315553.96715618","23144_829.jpg","1","","No small trees  in Csp1, Csp2and Csp3",",No shrub and bushes in Rsp1 .Rsp2","No fallen dead hood in FDT1 .Fdt2 andFdt3",""
"0614","1","EPSG:32635","670014.0","1239108.0","EPSG:32635","670010.121401401","1239105.48776543","11","0","11","5","2018","3","6","11","5","12","6","","","","","","","","EPSG:32635","670023.792426013","1239240.29789523","Easy to access plot1","EPSG:32635","670029.054203113","1239351.74456336","72937_94.jpg","2","","No small trees to measure in Csp1","No shrub and bushes in Rsp1 and Rsp3","No fallen dead wood in FDT1 , Fdt2 andFdt3",""
"0614","2","EPSG:32635","670014.0","1239608.0","EPSG:32635","670014.936100713","1239607.87759137","12","6","12","11","2018","3","6","12","12","12","50","","","","","","","","EPSG:32635","670134.989204684","1239609.98749039","","EPSG:32635","670264.538593374","1239610.0698047","72937_633.jpg","1","","No small trees to measure in Csp1 and csp2 andCsp3","No shrub and bushes in Rsp1 and Rsp3","No fallen dead wood in FDT1",""
"0614","3","EPSG:32635","670514.0","1239608.0","EPSG:32635","670502.839641371","1239613.58145516","12","50","14","20","2018","3","6","14","20","15","15","","","","","","","","EPSG:32635","670514.242404906","1239485.32702009","","EPSG:32634","1327737.2210845","1249563.83310299","72937_982.jpg","2","","No Small trees to measure in Csp1 and csp2  Csp3","No shrub and bushes in Rsp1","No fallen dead wood in FDT1 and FDT3",""
"0614","4","EPSG:32635","670514.0","1239108.0","EPSG:32635","670509.439841664","1239110.14077925","15","15","15","22","2018","3","6","15","22","16","3","","","","","","","","EPSG:32635","670374.373714061","1239111.63697864","","EPSG:32635","670283.024307361","1239110.81120836","72937_1205.jpg","1","","No small trees to measure in Csp2 and Csp3","","No fallen dead wood in FDT1 and FDT2 and FDT3",""
"0615","3","EPSG:32635","712430.0","1239918.0","EPSG:32635","712424.821689194","1239921.21193191","12","50","12","54","2018","3","3","13","0","14","5","","","","","","","","EPSG:32635","712436.785375842","1239797.35327424","","EPSG:32635","712434.454758387","1239661.21886431","68072_114.jpg","1","","NO  small trees to measure in Csp2","No shrub and bushes in Rsp1 and Rsp2","No fallen dead wood in FDT1 and FDT3",""
"0615","4","EPSG:32635","712430.0","1239418.0","EPSG:32635","712430.280841649","1239416.51695396","14","5","14","11","2018","3","3","14","12","15","5","","","","","","","","EPSG:32635","712310.269618776","1239415.28280007","","EPSG:32635","712177.891321856","1239416.67988179","68072_357.jpg","1","","No small trees to measure in Csp3","No small trees to measure in Csp1and Csp3","No fallen dead wood in FDT1 and FDT2",""
