"su_su_no","plot_plot_no","lucs_no","lucs_general_lucc","lucs_general_forest","lucs_general_owl","lucs_general_lucs_accessibility","lucs_general_lucs_accessibility_qualifier","lucs_general_width","lucs_general_width_unit_name","lucs_general_length","lucs_general_length_unit_name","lucs_general_designation_protection_status","lucs_general_designation_protection_status_qualifier","lucs_general_land_tenure_land_ownership","lucs_general_land_tenure_land_ownership_qualifier","lucs_general_land_tenure_management_agreement","lucs_general_land_tenure_management_agreement_qualifier","lucs_general_vegetation_cover_tree_canopy_cover","lucs_general_vegetation_cover_tof_distribution","lucs_general_vegetation_cover_tof_distribution_qualifier","lucs_general_vegetation_cover_trees_expected","lucs_general_vegetation_cover_shrub_cover","lucs_general_vegetation_cover_shrub_height","lucs_general_vegetation_cover_shrub_height_unit_name","lucs_general_vegetation_cover_herbaceous_cover","lucs_general_drainage_water_logging","lucs_general_drainage_filtering_capacity","lucs_general_soil_erosion[1]","lucs_general_soil_erosion_qualifier[1]","lucs_general_soil_erosion[2]","lucs_general_soil_erosion_qualifier[2]","lucs_general_soil_erosion[3]","lucs_general_soil_erosion_qualifier[3]","lucs_general_soil_erosion[4]","lucs_general_soil_erosion_qualifier[4]","lucs_general_soil_erosion[5]","lucs_general_soil_erosion_qualifier[5]","lucs_general_soil_erosion[6]","lucs_general_soil_erosion_qualifier[6]","lucs_general_soil_erosion[7]","lucs_general_soil_erosion_qualifier[7]","lucs_general_soil_erosion[8]","lucs_general_soil_erosion_qualifier[8]","lucs_general_soil_erosion[9]","lucs_general_soil_erosion_qualifier[9]","lucs_general_soil_erosion[10]","lucs_general_soil_erosion_qualifier[10]","lucs_general_soil_erosion[11]","lucs_general_soil_erosion_qualifier[11]","lucs_general_soil_erosion[12]","lucs_general_soil_erosion_qualifier[12]","lucs_general_fire_fire_evidence","lucs_general_fire_fire_area","lucs_general_fire_fire_area_unit_name","lucs_general_fire_fire_type[1]","lucs_general_fire_fire_type[2]","lucs_general_fire_fire_type[3]","lucs_general_fire_fire_type[4]","lucs_general_fire_fire_cause[1]","lucs_general_fire_fire_cause_qualifier[1]","lucs_general_fire_fire_cause[2]","lucs_general_fire_fire_cause_qualifier[2]","lucs_general_fire_fire_cause[3]","lucs_general_fire_fire_cause_qualifier[3]","lucs_general_fire_fire_cause[4]","lucs_general_fire_fire_cause_qualifier[4]","lucs_general_wildlife_wildlife_disturbance","lucs_forest_owl_stand_origin","lucs_forest_owl_stand_structure","lucs_forest_owl_management_plan","lucs_forest_owl_forest_ownership","lucs_forest_owl_forest_ownership_qualifier","lucs_forest_owl_human_disturbance","lucs_forest_owl_disturbance_type","lucs_forest_owl_disturbance_type_qualifier","lucs_forest_owl_timber_exploit[1]","lucs_forest_owl_timber_exploit_qualifier[1]","lucs_forest_owl_timber_exploit[2]","lucs_forest_owl_timber_exploit_qualifier[2]","lucs_forest_owl_timber_exploit[3]","lucs_forest_owl_timber_exploit_qualifier[3]","lucs_forest_owl_timber_exploit[4]","lucs_forest_owl_timber_exploit_qualifier[4]","lucs_forest_owl_stumps_removal","lucs_forest_owl_branches_top_removal","lucs_forest_owl_silviculture[1]","lucs_forest_owl_silviculture_qualifier[1]","lucs_forest_owl_silviculture[2]","lucs_forest_owl_silviculture_qualifier[2]","lucs_forest_owl_silviculture[3]","lucs_forest_owl_silviculture_qualifier[3]","lucs_forest_owl_silviculture[4]","lucs_forest_owl_silviculture_qualifier[4]","lucs_forest_owl_silviculture[5]","lucs_forest_owl_silviculture_qualifier[5]","lucs_forest_owl_silviculture[6]","lucs_forest_owl_silviculture_qualifier[6]","lucs_forest_owl_silviculture[7]","lucs_forest_owl_silviculture_qualifier[7]","lucs_forest_owl_silviculture[8]","lucs_forest_owl_silviculture_qualifier[8]","lucs_forest_owl_silviculture[9]","lucs_forest_owl_silviculture_qualifier[9]","lucs_forest_owl_silviculture[10]","lucs_forest_owl_silviculture_qualifier[10]","lucs_forest_owl_logging_technology[1]","lucs_forest_owl_logging_technology_qualifier[1]","lucs_forest_owl_logging_technology[2]","lucs_forest_owl_logging_technology_qualifier[2]","lucs_forest_owl_logging_technology[3]","lucs_forest_owl_logging_technology_qualifier[3]","lucs_forest_owl_logging_technology[4]","lucs_forest_owl_logging_technology_qualifier[4]","lucs_forest_owl_logging_technology[5]","lucs_forest_owl_logging_technology_qualifier[5]","lucs_forest_owl_logging_technology[6]","lucs_forest_owl_logging_technology_qualifier[6]","lucs_crop_soil_water_conservation[1]","lucs_crop_soil_water_conservation_qualifier[1]","lucs_crop_soil_water_conservation[2]","lucs_crop_soil_water_conservation_qualifier[2]","lucs_crop_soil_water_conservation[3]","lucs_crop_soil_water_conservation_qualifier[3]","lucs_crop_grazing_grazing_intensity","lucs_crop_grazing_grazing_quality","lucs_crop_grazing_grazing_quality_trend","lucs_notes"
"0953","1","1","FSD","true","false","0","","20.0","","250.0","","3","","3","","2","","3","0","","3","2","3.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0622","1","1","OCA","false","false","0","","20.0","","250.0","","8","","1","","1","","1","1","","1","0","","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","false","0","0",""
"0622","2","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","1","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","1","600","","2","","","","4","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","90","","","","false","0","0",""
"0622","3","1","FSD","true","false","0","","20.0","","250.0","","3","","1","","1","","2","0","","3","0","","","2","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","2","1","","0","","","","","","","","true","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0622","4","1","OCA","false","false","0","","20.0","","250.0","","8","","1","","1","","1","1","","1","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","false","0","0",""
"0799","2","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","0","","3","2","1.5","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","2","Land use its annual crops"
"0799","3","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","1","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","true","2","2",""
"0799","4","1","OB","false","false","99","build up area","20.0","","250.0","","6","","1","","1","","3","0","","3","0","","","0","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","false","0","0","It's built up area"
"0799","1","1","OB","false","false","99","it's build up area","20.0","","250.0","","90","","1","","1","","0","0","","1","0","2.5","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","false","0","0","It's  built up area"
"0910","3","1","FSD","true","false","0","","20.0","","250.0","","8","","1","","1","","2","0","","3","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","1","5000","","2","","","","90","","","","","","","","0","N","1","0","1","","1","1","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0910","4","1","FSD","true","false","0","","20.0","","250.0","","8","","1","","1","","3","0","","3","3","3.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","1","2500","","2","","","","90","","","","","","","","0","N","2","0","1","","1","1","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","There regeneration of acacia sehegalensis  and Acadia seyal"
"0871","1","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","2","","4","0","","3","3","3.0","","2","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0871","2","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","4","","4","0","","3","3","4.0","","2","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0871","3","1","FSD","true","false","0","","20.0","","250.0","","3","","3","","1","","3","0","","3","3","3.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","1","2","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0871","4","1","FSD","true","false","0","","20.0","","250.0","","3","","3","","1","","4","0","","3","3","3.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","1","2","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0613","1","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","2","","4","0","","3","3","3.0","","2","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0613","2","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","2","","4","0","","3","3","3.0","","1","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0613","3","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","2","","4","0","","3","3","3.0","","2","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0613","4","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","2","","3","0","","3","3","3.0","","2","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","90","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0522","1","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","2","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","2",""
"0522","2","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","2","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","3",""
"0522","3","1","WG","false","true","0","","20.0","","250.0","","6","","1","","1","","1","0","","3","2","3.0","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","1","","2","1","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0522","4","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","3","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","3",""
"0640","1","1","FSD","true","false","0","","20.0","","250.0","","8","","3","","2","","4","0","","3","2","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0640","2","1","FSD","true","false","0","","20.0","","250.0","","8","","1","","1","","3","0","","3","1","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0640","3","1","FSD","true","false","0","","20.0","","250.0","","8","","1","","1","","3","0","","3","1","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0640","4","1","FSD","true","false","0","","20.0","","250.0","","8","","1","","1","","3","0","","3","1","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0567","3","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","1","0","","","1","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","2",""
"0567","4","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","1","0","","","1","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","3",""
"0567","1","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","2","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","3",""
"0567","2","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","2","1","","3","0","","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","2",""
"0435","1","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","2","1","","3","2","2.0","","3","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","true","1","2",""
"0435","2","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","0","","3","1","1.5","","3","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","2",""
"0435","3","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","2","0","","3","2","2.0","","3","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","true","2","2",""
"0435","4","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","2","0","","3","2","2.0","","4","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","false","0","0",""
"0518","1","1","FSD","true","false","0","","20.0","","250.0","","3","","1","","1","","3","0","","1","1","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","1","1","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0518","2","1","FSD","true","false","0","","20.0","","250.0","","3","","1","","1","","2","0","","3","3","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","0","1","","0","0","","0","","","","","","","","true","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","One land use."
"0518","3","1","FSD","true","false","0","","20.0","","250.0","","3","","1","","1","","2","0","","3","3","2.2","","3","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0518","4","1","FSD","true","false","0","","20.0","","250.0","","3","","1","","1","","2","0","","3","2","2.0","","2","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0558","1","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","3","1","1.0","","3","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","true","2","3","It's corp  area"
"0558","2","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","1","0","","","3","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","true","2","2",""
"0558","3","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","3","1","1.0","","4","5","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","true","2","2",""
"0558","4","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","3","1","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","true","1","2",""
"0614","1","1","FD","true","false","0","","20.0","","250.0","","8","","3","","1","","4","0","","3","2","3.0","","4","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","2","1","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0614","2","1","FSD","true","false","0","","20.0","","250.0","","3","","3","","1","","4","0","","3","2","3.0","","3","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","1","1","","0","","","","","","","","false","true","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0614","3","1","FD","true","false","0","","20.0","","250.0","","8","","3","","1","","4","0","","3","3","3.0","","3","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0614","4","1","FD","true","false","0","","20.0","","250.0","","8","","3","","1","","3","0","","3","3","3.0","","3","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0615","3","1","FSD","true","false","0","","20.0","","250.0","","8","","5","","1","","5","0","","3","2","3.0","","4","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","1","5","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0615","4","1","FSD","true","false","0","","20.0","","250.0","","8","","5","","1","","4","0","","3","2","2.0","","4","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","5","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0615","1","1","FD","true","false","0","","20.0","","250.0","","8","","5","","1","","5","0","","3","3","3.0","","4","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","","1","","","0","0","","","","","","","","","","false","false","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0615","2","1","FD","true","false","0","","20.0","","250.0","","8","","5","","1","","4","0","","3","2","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","90","5","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0557","2","1","FD","true","false","0","","20.0","","250.0","","3","","3","","2","","3","0","","3","1","2.0","","1","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","90","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0557","3","1","FD","true","false","0","","20.0","","250.0","","3","","3","","2","","3","0","","1","0","","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","0","90","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0557","4","1","FD","true","false","0","","20.0","","250.0","","3","","3","","2","","3","0","","3","1","2.0","","1","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","3","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0557","1","1","FD","true","false","0","","20.0","","250.0","","3","","3","","2","","3","0","","3","1","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","7","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0557","1","1","FD","true","false","0","","20.0","","250.0","","3","","7","","2","","3","0","","3","1","2.0","","2","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0557","1","1","FD","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0825","1","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","1","1","","1","0","","","0","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","0","0",""
"0825","2","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","0","0","","1","0","","","1","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","0","0",""
"0825","3","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","0","0","","1","0","","","0","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","1","3",""
"0825","4","1","OCA","false","false","0","","20.0","","250.0","","6","","1","","1","","0","0","","2","0","","","0","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","0","0",""
"0594","1","1","OCA","false","false","0","","20.0","","250.0","","8","","1","","1","","0","0","","1","0","","","1","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","2",""
"0594","2","1","OCA","false","false","0","","20.0","","250.0","","8","","1","","1","","0","1","","2","0","","","2","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","3","3",""
"0594","3","1","OCA","false","false","0","","20.0","","250.0","","8","","1","","1","","0","1","","2","0","","","3","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","3","3",""
"0594","4","1","OCA","false","false","0","","20.0","","250.0","","8","","1","","1","","0","1","","1","0","","","4","4","1","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","true","2","3",""
"0445","4","1","WG","false","true","0","","20.0","","250.0","","8","","1","","1","","1","1","","3","3","3.0","","3","4","3","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","1","","0","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0445","1","1","WG","false","true","0","","20.0","","250.0","","8","","1","","1","","2","1","","3","1","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","N","1","0","1","","0","0","","0","","","","","","","","false","false","0","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"0445","2","1","OCA","false","false","0","","20.0","","250.0","","8","","1","","1","","1","1","","3","1","2.0","","3","4","2","0","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","true","1","1",""
